home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
Russia,Netherlands,0,2,,,0,2,1988-06-25T13:30:00Z,Final,Olympiastadion,Munich
Russia,Italy,2,0,,,2,0,1988-06-22T18:15:00Z,Semi-finals,Arena Stuttgart,Stuttgart
Germany,Netherlands,1,2,,,1,2,1988-06-21T18:15:00Z,Semi-finals,Volksparkstadion,Hamburg
Ireland,Netherlands,0,1,,,0,1,1988-06-18T13:30:00Z,Group 2,Parkstadion,Gelsenkirchen
England,Russia,1,3,,,1,3,1988-06-18T13:30:00Z,Group 2,Waldstadion (old),Frankfurt am Main
Germany,Spain,2,0,,,2,0,1988-06-17T18:15:00Z,Group 1,Olympiastadion,Munich
Italy,Denmark,2,0,,,2,0,1988-06-17T18:15:00Z,Group 1,Stadion Köln,Cologne
Ireland,Russia,1,1,,,1,1,1988-06-15T18:15:00Z,Group 2,Stadion Hannover,Hanover
England,Netherlands,1,3,,,1,3,1988-06-15T15:15:00Z,Group 2,Rheinstadion,Dusseldorf
Italy,Spain,1,0,,,1,0,1988-06-14T18:15:00Z,Group 1,Waldstadion (old),Frankfurt am Main
Germany,Denmark,2,0,,,2,0,1988-06-14T15:15:00Z,Group 1,Parkstadion,Gelsenkirchen
Netherlands,Russia,0,1,,,0,1,1988-06-12T18:15:00Z,Group 2,Stadion Köln,Cologne
England,Ireland,0,1,,,0,1,1988-06-12T13:30:00Z,Group 2,Arena Stuttgart,Stuttgart
Denmark,Spain,2,3,,,2,3,1988-06-11T13:30:00Z,Group 1,Stadion Hannover,Hanover
Germany,Italy,1,1,,,1,1,1988-06-10T18:15:00Z,Group 1,Rheinstadion,Dusseldorf
