home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
France,Italy,1,1,,,2,1,2000-07-02T18:00:00Z,Final,Stadion Feijenoord 'De Kuip',Rotterdam
Italy,Netherlands,0,0,3,1,3,1,2000-06-29T16:00:00Z,Semi-finals,Johan Cruijff ArenA,Amsterdam
France,Portugal,1,1,,,2,1,2000-06-28T18:45:00Z,Semi-finals,King Baudouin Stadium,Brussels
Spain,France,1,2,,,1,2,2000-06-25T18:45:00Z,Quarter-finals,Jan Breydelstadion,Bruges
Netherlands,Serbia,6,1,,,6,1,2000-06-25T16:00:00Z,Quarter-finals,Stadion Feijenoord 'De Kuip',Rotterdam
Italy,Romania,2,0,,,2,0,2000-06-24T18:45:00Z,Quarter-finals,King Baudouin Stadium,Brussels
Turkey,Portugal,0,2,,,0,2,2000-06-24T16:00:00Z,Quarter-finals,Johan Cruijff ArenA,Amsterdam
France,Netherlands,2,3,,,2,3,2000-06-21T18:45:00Z,Group D,Johan Cruijff ArenA,Amsterdam
Denmark,Czechia,0,2,,,0,2,2000-06-21T18:45:00Z,Group D,Stade Maurice Dufrasne,Liege
Slovenia,Norway,0,0,,,0,0,2000-06-21T16:00:00Z,Group C,GelreDome,Arnhem
Serbia,Spain,3,4,,,3,4,2000-06-21T16:00:00Z,Group C,Jan Breydelstadion,Bruges
Portugal,Germany,3,0,,,3,0,2000-06-20T18:45:00Z,Group A,Stadion Feijenoord 'De Kuip',Rotterdam
England,Romania,2,3,,,2,3,2000-06-20T18:45:00Z,Group A,Stade du Pays de Charleroi,Charleroi
Italy,Sweden,2,1,,,2,1,2000-06-19T18:45:00Z,Group B,PSV Stadion,Eindhoven
Turkey,Belgium,2,0,,,2,0,2000-06-19T18:45:00Z,Group B,King Baudouin Stadium,Brussels
Norway,Serbia,0,1,,,0,1,2000-06-18T18:45:00Z,Group C,Stade Maurice Dufrasne,Liege
Slovenia,Spain,1,2,,,1,2,2000-06-18T16:00:00Z,Group C,Johan Cruijff ArenA,Amsterdam
England,Germany,1,0,,,1,0,2000-06-17T18:45:00Z,Group A,Stade du Pays de Charleroi,Charleroi
Romania,Portugal,0,1,,,0,1,2000-06-17T16:00:00Z,Group A,GelreDome,Arnhem
Denmark,Netherlands,0,3,,,0,3,2000-06-16T18:45:00Z,Group D,Stadion Feijenoord 'De Kuip',Rotterdam
Czechia,France,1,2,,,1,2,2000-06-16T16:00:00Z,Group D,Jan Breydelstadion,Bruges
Sweden,Turkey,0,0,,,0,0,2000-06-15T18:45:00Z,Group B,PSV Stadion,Eindhoven
Italy,Belgium,2,0,,,2,0,2000-06-14T18:45:00Z,Group B,King Baudouin Stadium,Brussels
Serbia,Slovenia,3,3,,,3,3,2000-06-13T18:45:00Z,Group C,Stade du Pays de Charleroi,Charleroi
Spain,Norway,0,1,,,0,1,2000-06-13T16:00:00Z,Group C,Stadion Feijenoord 'De Kuip',Rotterdam
Portugal,England,3,2,,,3,2,2000-06-12T18:45:00Z,Group A,PSV Stadion,Eindhoven
Germany,Romania,1,1,,,1,1,2000-06-12T16:00:00Z,Group A,Stade Maurice Dufrasne,Liege
Netherlands,Czechia,1,0,,,1,0,2000-06-11T18:45:00Z,Group D,Johan Cruijff ArenA,Amsterdam
France,Denmark,3,0,,,3,0,2000-06-11T16:00:00Z,Group D,Jan Breydelstadion,Bruges
Turkey,Italy,1,2,,,1,2,2000-06-11T12:30:00Z,Group B,GelreDome,Arnhem
Belgium,Sweden,2,1,,,2,1,2000-06-10T18:45:00Z,Group B,King Baudouin Stadium,Brussels
