home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
France,Spain,2,0,,,2,0,1984-06-27T18:00:00Z,Final,Parc des Princes,Paris
Denmark,Spain,0,0,4,5,4,5,1984-06-24T18:00:00Z,Semi-finals,Stade de Gerland,Lyon
France,Portugal,1,1,,,3,2,1984-06-23T18:00:00Z,Semi-finals,Stade de Marseille,Marseille
Portugal,Romania,1,0,,,1,0,1984-06-20T18:30:00Z,Group 2,Stade de la Beaujoire,Nantes
Germany,Spain,0,1,,,0,1,1984-06-20T18:30:00Z,Group 2,Parc des Princes,Paris
Denmark,Belgium,3,2,,,3,2,1984-06-19T18:30:00Z,Group 1,Stade de La Meinau,Strasbourg
France,Serbia,3,2,,,3,2,1984-06-19T18:30:00Z,Group 1,Stade Geoffroy Guichard,Saint-Etienne
Portugal,Spain,1,1,,,1,1,1984-06-17T18:30:00Z,Group 2,Stade de Marseille,Marseille
Germany,Romania,2,1,,,2,1,1984-06-17T15:15:00Z,Group 2,Stade Bollaert-Delelis,Lens Agglo
Denmark,Serbia,5,0,,,5,0,1984-06-16T18:30:00Z,Group 1,Stade de Gerland,Lyon
France,Belgium,5,0,,,5,0,1984-06-16T15:15:00Z,Group 1,Stade de la Beaujoire,Nantes
Romania,Spain,1,1,,,1,1,1984-06-14T18:30:00Z,Group 2,Stade Geoffroy Guichard,Saint-Etienne
Germany,Portugal,0,0,,,0,0,1984-06-14T15:15:00Z,Group 2,Stade de La Meinau,Strasbourg
Belgium,Serbia,2,0,,,2,0,1984-06-13T18:30:00Z,Group 1,Stade Bollaert-Delelis,Lens Agglo
France,Denmark,1,0,,,1,0,1984-06-12T18:30:00Z,Group 1,Parc des Princes,Paris
