home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
Belgium,Germany,1,2,,,1,2,1980-06-22T18:30:00Z,Final,Stadio Olimpico,Rome
Czechia,Italy,1,1,9,8,10,9,1980-06-21T18:30:00Z,Third-place play-off,Stadio Diego Armando Maradona,Naples
Italy,Belgium,0,0,,,0,0,1980-06-18T18:30:00Z,Group 2,Stadio Olimpico,Rome
Spain,England,1,2,,,1,2,1980-06-18T15:45:00Z,Group 2,Stadio Diego Armando Maradona,Naples
Greece,Germany,0,0,,,0,0,1980-06-17T18:30:00Z,Group 1,Delle Alpi,Turin
Netherlands,Czechia,1,1,,,1,1,1980-06-17T15:45:00Z,Group 1,Stadio San Siro,Milan
England,Italy,0,1,,,0,1,1980-06-15T18:30:00Z,Group 2,Delle Alpi,Turin
Belgium,Spain,2,1,,,2,1,1980-06-15T15:45:00Z,Group 2,Stadio San Siro,Milan
Greece,Czechia,1,3,,,1,3,1980-06-14T18:30:00Z,Group 1,Stadio Olimpico,Rome
Germany,Netherlands,3,2,,,3,2,1980-06-14T15:45:00Z,Group 1,Stadio Diego Armando Maradona,Naples
Spain,Italy,0,0,,,0,0,1980-06-12T18:30:00Z,Group 2,Stadio San Siro,Milan
Belgium,England,1,1,,,1,1,1980-06-12T15:45:00Z,Group 2,Delle Alpi,Turin
Netherlands,Greece,1,0,,,1,0,1980-06-11T18:30:00Z,Group 1,Stadio Diego Armando Maradona,Naples
Czechia,Germany,0,1,,,0,1,1980-06-11T15:45:00Z,Group 1,Stadio Olimpico,Rome
