home_team,Albania_0,Albania_1,Austria_0,Austria_1,Belgium_0,Belgium_1,Croatia_0,Croatia_1,Czechia_0,Czechia_1,Denmark_0,Denmark_1,England_0,England_1,France_0,France_1,Georgia_0,Georgia_1,Germany_0,Germany_1,Hungary_0,Hungary_1,Italy_0,Italy_1,Netherlands_0,Netherlands_1,Poland_0,Poland_1,Portugal_0,Portugal_1,Romania_0,Romania_1,Scotland_0,Scotland_1,Serbia_0,Serbia_1,Slovakia_0,Slovakia_1,Slovenia_0,Slovenia_1,Spain_0,Spain_1,Switzerland_0,Switzerland_1,Turkey_0,Turkey_1,Ukraine_0,Ukraine_1
Albania,,,"{""predictions"": [35.21, 64.79, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [27.23, 48.6, 24.17], ""scorePrediction"": [0, 1]}","{""predictions"": [27.22, 72.78, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.92, 58.37, 20.71], ""scorePrediction"": [1, 2]}","{""predictions"": [37.73, 62.27, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.53, 48.59, 23.88], ""scorePrediction"": [0, 1]}","{""predictions"": [34.96, 65.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.47, 48.32, 24.21], ""scorePrediction"": [1, 2]}","{""predictions"": [28.96, 71.04, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.05, 54.01, 21.94], ""scorePrediction"": [1, 2]}","{""predictions"": [24.72, 75.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.17, 60.21, 19.62], ""scorePrediction"": [1, 2]}","{""predictions"": [22.81, 77.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [18.46, 62.56, 18.98], ""scorePrediction"": [1, 2]}","{""predictions"": [40.19, 59.81, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.02, 45.57, 25.41], ""scorePrediction"": [0, 1]}","{""predictions"": [26.44, 73.56, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.69, 58.26, 21.05], ""scorePrediction"": [1, 2]}","{""predictions"": [39.99, 60.01, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.51, 45.45, 25.04], ""scorePrediction"": [0, 1]}","{""predictions"": [32.88, 67.12, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.78, 52.42, 22.8], ""scorePrediction"": [1, 2]}","{""predictions"": [23.35, 76.65, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [18.72, 61.41, 19.87], ""scorePrediction"": [1, 2]}","{""predictions"": [35.34, 64.66, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.7, 49.18, 24.12], ""scorePrediction"": [1, 2]}","{""predictions"": [21.04, 78.96, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [16.15, 66.38, 17.47], ""scorePrediction"": [1, 2]}","{""predictions"": [44.03, 55.97, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.39, 41.83, 25.78], ""scorePrediction"": [0, 1]}","{""predictions"": [44.36, 55.64, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.09, 41.68, 26.23], ""scorePrediction"": [0, 1]}","{""predictions"": [32.89, 67.11, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.8, 51.15, 23.05], ""scorePrediction"": [1, 2]}","{""predictions"": [46.16, 53.84, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [33.66, 38.41, 27.93], ""scorePrediction"": [0, 1]}","{""predictions"": [39.62, 60.38, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.59, 45.34, 25.07], ""scorePrediction"": [0, 1]}","{""predictions"": [25.48, 74.52, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [20.28, 59.4, 20.32], ""scorePrediction"": [1, 2]}","{""predictions"": [35.69, 64.31, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [26.35, 49.58, 24.07], ""scorePrediction"": [1, 2]}","{""predictions"": [31.49, 68.51, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.97, 53.0, 23.03], ""scorePrediction"": [1, 2]}","{""predictions"": [43.59, 56.41, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.71, 40.84, 26.45], ""scorePrediction"": [0, 1]}"
Austria,"{""predictions"": [63.78, 36.22, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [48.5, 27.81, 23.69], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [39.66, 60.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.31, 49.39, 20.3], ""scorePrediction"": [1, 2]}","{""predictions"": [50.81, 49.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.41, 37.66, 22.93], ""scorePrediction"": [2, 1]}","{""predictions"": [50.28, 49.72, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [38.16, 39.21, 22.63], ""scorePrediction"": [1, 2]}","{""predictions"": [43.15, 56.85, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.58, 44.34, 22.08], ""scorePrediction"": [1, 2]}","{""predictions"": [37.27, 62.73, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.63, 50.21, 20.16], ""scorePrediction"": [1, 2]}","{""predictions"": [34.55, 65.45, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.71, 51.86, 20.43], ""scorePrediction"": [1, 2]}","{""predictions"": [54.05, 45.95, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.42, 34.92, 22.66], ""scorePrediction"": [2, 1]}","{""predictions"": [39.42, 60.58, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.37, 47.98, 20.65], ""scorePrediction"": [1, 2]}","{""predictions"": [53.35, 46.65, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.27, 35.47, 22.26], ""scorePrediction"": [2, 1]}","{""predictions"": [45.99, 54.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.4, 42.54, 22.06], ""scorePrediction"": [1, 2]}","{""predictions"": [35.43, 64.57, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.03, 51.01, 19.96], ""scorePrediction"": [1, 2]}","{""predictions"": [48.76, 51.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.15, 39.39, 22.46], ""scorePrediction"": [1, 2]}","{""predictions"": [30.5, 69.5, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.69, 55.99, 18.32], ""scorePrediction"": [1, 2]}","{""predictions"": [58.18, 41.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.48, 30.86, 23.66], ""scorePrediction"": [2, 1]}","{""predictions"": [57.9, 42.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.06, 32.69, 23.25], ""scorePrediction"": [2, 1]}","{""predictions"": [46.45, 53.55, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.31, 41.64, 23.05], ""scorePrediction"": [1, 2]}","{""predictions"": [59.81, 40.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.8, 30.17, 23.03], ""scorePrediction"": [2, 1]}","{""predictions"": [54.39, 45.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.62, 34.98, 23.4], ""scorePrediction"": [2, 1]}","{""predictions"": [37.71, 62.29, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.44, 49.48, 21.08], ""scorePrediction"": [1, 2]}","{""predictions"": [49.94, 50.06, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.74, 39.07, 22.19], ""scorePrediction"": [1, 2]}","{""predictions"": [46.06, 53.94, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.24, 41.77, 22.99], ""scorePrediction"": [1, 2]}","{""predictions"": [57.17, 42.83, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.52, 32.27, 23.21], ""scorePrediction"": [2, 1]}"
Belgium,"{""predictions"": [73.74, 26.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [58.55, 21.18, 20.27], ""scorePrediction"": [2, 1]}","{""predictions"": [61.26, 38.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.5, 30.74, 20.76], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [62.28, 37.72, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.84, 30.13, 21.03], ""scorePrediction"": [2, 1]}","{""predictions"": [61.38, 38.62, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.6, 31.68, 20.72], ""scorePrediction"": [2, 1]}","{""predictions"": [54.45, 45.55, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.32, 36.86, 20.82], ""scorePrediction"": [2, 1]}","{""predictions"": [48.53, 51.47, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.37, 41.35, 19.28], ""scorePrediction"": [1, 2]}","{""predictions"": [46.47, 53.53, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.88, 43.72, 19.4], ""scorePrediction"": [1, 2]}","{""predictions"": [64.48, 35.52, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.13, 27.78, 21.09], ""scorePrediction"": [2, 1]}","{""predictions"": [50.99, 49.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.99, 39.62, 20.39], ""scorePrediction"": [2, 1]}","{""predictions"": [64.82, 35.18, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.83, 27.27, 20.9], ""scorePrediction"": [2, 1]}","{""predictions"": [57.0, 43.0, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.59, 35.02, 20.39], ""scorePrediction"": [2, 1]}","{""predictions"": [47.49, 52.51, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.41, 42.88, 18.71], ""scorePrediction"": [1, 2]}","{""predictions"": [59.67, 40.33, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.54, 31.04, 20.42], ""scorePrediction"": [2, 1]}","{""predictions"": [40.72, 59.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.6, 48.06, 18.34], ""scorePrediction"": [1, 2]}","{""predictions"": [69.55, 30.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.37, 24.51, 20.12], ""scorePrediction"": [2, 1]}","{""predictions"": [68.39, 31.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.89, 24.97, 21.14], ""scorePrediction"": [2, 1]}","{""predictions"": [57.8, 42.2, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.31, 33.78, 19.91], ""scorePrediction"": [2, 1]}","{""predictions"": [70.59, 29.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.94, 23.02, 21.04], ""scorePrediction"": [2, 1]}","{""predictions"": [65.04, 34.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.66, 29.12, 20.22], ""scorePrediction"": [2, 1]}","{""predictions"": [49.4, 50.6, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [39.22, 40.84, 19.94], ""scorePrediction"": [1, 2]}","{""predictions"": [59.91, 40.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.69, 31.36, 20.95], ""scorePrediction"": [2, 1]}","{""predictions"": [56.95, 43.05, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.06, 34.75, 20.19], ""scorePrediction"": [2, 1]}","{""predictions"": [69.26, 30.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.0, 23.97, 21.03], ""scorePrediction"": [2, 1]}"
Croatia,"{""predictions"": [63.34, 36.66, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [47.39, 28.26, 24.35], ""scorePrediction"": [1, 0]}","{""predictions"": [49.35, 50.65, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.11, 38.78, 23.11], ""scorePrediction"": [1, 2]}","{""predictions"": [37.99, 62.01, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.14, 49.24, 20.62], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [47.35, 52.65, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.87, 40.87, 22.26], ""scorePrediction"": [1, 2]}","{""predictions"": [42.65, 57.35, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.72, 45.47, 21.81], ""scorePrediction"": [1, 2]}","{""predictions"": [37.37, 62.63, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.65, 51.02, 20.33], ""scorePrediction"": [1, 2]}","{""predictions"": [34.55, 65.45, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.29, 53.24, 19.47], ""scorePrediction"": [1, 2]}","{""predictions"": [51.97, 48.03, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.64, 35.2, 24.16], ""scorePrediction"": [2, 1]}","{""predictions"": [38.59, 61.41, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.56, 49.14, 21.3], ""scorePrediction"": [1, 2]}","{""predictions"": [51.97, 48.03, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.13, 37.26, 22.61], ""scorePrediction"": [2, 1]}","{""predictions"": [43.76, 56.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.53, 42.37, 22.1], ""scorePrediction"": [1, 2]}","{""predictions"": [34.8, 65.2, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.83, 51.56, 20.61], ""scorePrediction"": [1, 2]}","{""predictions"": [48.75, 51.25, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.3, 38.1, 23.6], ""scorePrediction"": [2, 1]}","{""predictions"": [30.72, 69.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.88, 56.58, 18.54], ""scorePrediction"": [1, 2]}","{""predictions"": [57.42, 42.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.91, 32.12, 23.97], ""scorePrediction"": [2, 1]}","{""predictions"": [56.55, 43.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.22, 33.27, 23.51], ""scorePrediction"": [2, 1]}","{""predictions"": [45.28, 54.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.12, 42.62, 22.26], ""scorePrediction"": [1, 2]}","{""predictions"": [58.94, 41.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.42, 31.58, 24.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.04, 46.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.29, 36.79, 23.92], ""scorePrediction"": [2, 1]}","{""predictions"": [36.6, 63.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.3, 50.3, 20.4], ""scorePrediction"": [1, 2]}","{""predictions"": [47.98, 52.02, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.3, 39.84, 22.86], ""scorePrediction"": [1, 2]}","{""predictions"": [44.46, 55.54, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.57, 43.44, 21.99], ""scorePrediction"": [1, 2]}","{""predictions"": [58.66, 41.34, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.22, 32.52, 24.26], ""scorePrediction"": [2, 1]}"
Czechia,"{""predictions"": [65.02, 34.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.17, 27.16, 23.67], ""scorePrediction"": [2, 1]}","{""predictions"": [50.35, 49.65, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.53, 38.4, 22.07], ""scorePrediction"": [2, 1]}","{""predictions"": [39.7, 60.3, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.98, 48.27, 20.75], ""scorePrediction"": [1, 2]}","{""predictions"": [51.57, 48.43, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.75, 37.52, 22.73], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [43.34, 56.66, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.66, 44.68, 21.66], ""scorePrediction"": [1, 2]}","{""predictions"": [38.75, 61.25, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.2, 48.91, 19.89], ""scorePrediction"": [1, 2]}","{""predictions"": [35.93, 64.07, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.37, 50.71, 19.92], ""scorePrediction"": [1, 2]}","{""predictions"": [54.64, 45.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.33, 35.66, 23.01], ""scorePrediction"": [2, 1]}","{""predictions"": [39.79, 60.21, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.23, 48.31, 20.46], ""scorePrediction"": [1, 2]}","{""predictions"": [54.83, 45.17, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.56, 34.34, 23.1], ""scorePrediction"": [2, 1]}","{""predictions"": [46.89, 53.11, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.03, 42.8, 21.17], ""scorePrediction"": [1, 2]}","{""predictions"": [35.76, 64.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [29.1, 51.53, 19.37], ""scorePrediction"": [1, 2]}","{""predictions"": [49.7, 50.3, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.25, 39.2, 22.55], ""scorePrediction"": [1, 2]}","{""predictions"": [31.13, 68.87, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.55, 55.45, 19.0], ""scorePrediction"": [1, 2]}","{""predictions"": [58.6, 41.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.27, 31.23, 23.5], ""scorePrediction"": [2, 1]}","{""predictions"": [58.49, 41.51, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.7, 32.11, 23.19], ""scorePrediction"": [2, 1]}","{""predictions"": [47.52, 52.48, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.76, 42.09, 22.15], ""scorePrediction"": [1, 2]}","{""predictions"": [61.6, 38.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.56, 29.72, 23.72], ""scorePrediction"": [2, 1]}","{""predictions"": [54.3, 45.7, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.75, 34.91, 23.34], ""scorePrediction"": [2, 1]}","{""predictions"": [38.98, 61.02, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.67, 49.21, 20.12], ""scorePrediction"": [1, 2]}","{""predictions"": [50.51, 49.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.63, 38.23, 22.14], ""scorePrediction"": [2, 1]}","{""predictions"": [45.49, 54.51, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.06, 41.88, 22.06], ""scorePrediction"": [1, 2]}","{""predictions"": [59.34, 40.66, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.77, 31.22, 23.01], ""scorePrediction"": [2, 1]}"
Denmark,"{""predictions"": [70.55, 29.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.46, 23.15, 21.39], ""scorePrediction"": [2, 1]}","{""predictions"": [57.55, 42.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.72, 33.28, 22.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.0, 53.0, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.79, 42.63, 20.58], ""scorePrediction"": [1, 2]}","{""predictions"": [57.59, 42.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.67, 32.51, 21.82], ""scorePrediction"": [2, 1]}","{""predictions"": [56.42, 43.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.56, 33.89, 21.55], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [44.81, 55.19, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.07, 44.94, 19.99], ""scorePrediction"": [1, 2]}","{""predictions"": [42.02, 57.98, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.86, 47.12, 20.02], ""scorePrediction"": [1, 2]}","{""predictions"": [61.46, 38.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.5, 30.59, 21.91], ""scorePrediction"": [2, 1]}","{""predictions"": [46.33, 53.67, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.34, 42.81, 20.85], ""scorePrediction"": [1, 2]}","{""predictions"": [60.87, 39.13, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.78, 31.07, 22.15], ""scorePrediction"": [2, 1]}","{""predictions"": [52.5, 47.5, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.7, 37.19, 21.11], ""scorePrediction"": [2, 1]}","{""predictions"": [42.07, 57.93, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.78, 46.64, 19.58], ""scorePrediction"": [1, 2]}","{""predictions"": [56.02, 43.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.98, 35.28, 21.74], ""scorePrediction"": [2, 1]}","{""predictions"": [37.31, 62.69, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.3, 50.97, 18.73], ""scorePrediction"": [1, 2]}","{""predictions"": [65.64, 34.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.05, 26.57, 22.38], ""scorePrediction"": [2, 1]}","{""predictions"": [64.74, 35.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.9, 27.59, 22.51], ""scorePrediction"": [2, 1]}","{""predictions"": [53.33, 46.67, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.83, 36.68, 20.49], ""scorePrediction"": [2, 1]}","{""predictions"": [66.13, 33.87, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [53.41, 25.45, 21.14], ""scorePrediction"": [2, 1]}","{""predictions"": [60.7, 39.3, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.73, 30.92, 21.35], ""scorePrediction"": [2, 1]}","{""predictions"": [44.75, 55.25, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.93, 44.71, 19.36], ""scorePrediction"": [1, 2]}","{""predictions"": [56.52, 43.48, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.25, 34.39, 21.36], ""scorePrediction"": [2, 1]}","{""predictions"": [52.26, 47.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.24, 37.02, 21.74], ""scorePrediction"": [2, 1]}","{""predictions"": [65.8, 34.2, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.73, 27.62, 21.65], ""scorePrediction"": [2, 1]}"
England,"{""predictions"": [73.91, 26.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [59.44, 20.43, 20.13], ""scorePrediction"": [2, 1]}","{""predictions"": [62.37, 37.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.99, 29.69, 20.32], ""scorePrediction"": [2, 1]}","{""predictions"": [51.64, 48.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.81, 38.81, 19.38], ""scorePrediction"": [2, 1]}","{""predictions"": [62.86, 37.14, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.09, 28.81, 20.1], ""scorePrediction"": [2, 1]}","{""predictions"": [60.76, 39.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.85, 30.5, 20.65], ""scorePrediction"": [2, 1]}","{""predictions"": [55.29, 44.71, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.52, 35.67, 19.81], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [47.1, 52.9, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.17, 42.65, 19.18], ""scorePrediction"": [1, 2]}","{""predictions"": [65.89, 34.11, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.17, 27.25, 20.58], ""scorePrediction"": [2, 1]}","{""predictions"": [52.02, 47.98, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.63, 38.49, 19.88], ""scorePrediction"": [2, 1]}","{""predictions"": [64.98, 35.02, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.44, 27.97, 20.59], ""scorePrediction"": [2, 1]}","{""predictions"": [58.34, 41.66, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.63, 33.32, 20.05], ""scorePrediction"": [2, 1]}","{""predictions"": [46.7, 53.3, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.09, 42.06, 19.85], ""scorePrediction"": [1, 2]}","{""predictions"": [61.76, 38.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.22, 30.47, 20.31], ""scorePrediction"": [2, 1]}","{""predictions"": [42.67, 57.33, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.42, 45.88, 18.7], ""scorePrediction"": [1, 2]}","{""predictions"": [70.74, 29.26, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.69, 23.9, 20.41], ""scorePrediction"": [2, 1]}","{""predictions"": [69.81, 30.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [55.4, 23.86, 20.74], ""scorePrediction"": [2, 1]}","{""predictions"": [58.59, 41.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.26, 32.61, 20.13], ""scorePrediction"": [2, 1]}","{""predictions"": [72.06, 27.94, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.76, 21.95, 20.29], ""scorePrediction"": [2, 1]}","{""predictions"": [66.33, 33.67, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.72, 27.05, 21.23], ""scorePrediction"": [2, 1]}","{""predictions"": [50.09, 49.91, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.0, 40.24, 19.76], ""scorePrediction"": [1, 2]}","{""predictions"": [61.73, 38.27, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.34, 29.99, 20.67], ""scorePrediction"": [2, 1]}","{""predictions"": [57.49, 42.51, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.93, 33.58, 20.49], ""scorePrediction"": [2, 1]}","{""predictions"": [69.83, 30.17, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.48, 24.56, 18.96], ""scorePrediction"": [2, 1]}"
