home_team,Albania_0,Albania_1,Austria_0,Austria_1,Belgium_0,Belgium_1,Croatia_0,Croatia_1,Czechia_0,Czechia_1,England_0,England_1,France_0,France_1,Germany_0,Germany_1,Hungary_0,Hungary_1,Iceland_0,Iceland_1,Ireland_0,Ireland_1,Italy_0,Italy_1,Northern Ireland_0,Northern Ireland_1,Poland_0,Poland_1,Portugal_0,Portugal_1,Romania_0,Romania_1,Russia_0,Russia_1,Slovakia_0,Slovakia_1,Spain_0,Spain_1,Sweden_0,Sweden_1,Switzerland_0,Switzerland_1,Turkey_0,Turkey_1,Ukraine_0,Ukraine_1,Wales_0,Wales_1
Albania,,,"{""predictions"": [36.33, 63.67, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.08, 49.12, 23.8], ""scorePrediction"": [1, 2]}","{""predictions"": [29.15, 70.85, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.4, 55.66, 20.94], ""scorePrediction"": [1, 2]}","{""predictions"": [31.09, 68.91, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [24.36, 53.39, 22.25], ""scorePrediction"": [1, 2]}","{""predictions"": [40.2, 59.8, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [30.41, 44.01, 25.58], ""scorePrediction"": [0, 1]}","{""predictions"": [28.09, 71.91, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [22.66, 55.77, 21.57], ""scorePrediction"": [1, 2]}","{""predictions"": [30.23, 69.77, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.67, 53.99, 22.34], ""scorePrediction"": [1, 2]}","{""predictions"": [22.29, 77.71, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [18.09, 63.34, 18.57], ""scorePrediction"": [1, 2]}","{""predictions"": [42.61, 57.39, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.19, 41.74, 26.07], ""scorePrediction"": [0, 1]}","{""predictions"": [41.81, 58.19, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [31.47, 43.92, 24.61], ""scorePrediction"": [0, 1]}","{""predictions"": [44.51, 55.49, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.63, 41.26, 26.11], ""scorePrediction"": [0, 1]}","{""predictions"": [43.55, 56.45, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.73, 41.21, 26.06], ""scorePrediction"": [0, 1]}","{""predictions"": [55.62, 44.38, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [39.74, 30.83, 29.43], ""scorePrediction"": [1, 0]}","{""predictions"": [31.14, 68.86, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.75, 54.66, 21.59], ""scorePrediction"": [1, 2]}","{""predictions"": [38.14, 61.86, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [28.58, 45.99, 25.43], ""scorePrediction"": [0, 1]}","{""predictions"": [37.31, 62.69, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [27.93, 46.75, 25.32], ""scorePrediction"": [0, 1]}","{""predictions"": [34.65, 65.35, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.15, 50.26, 23.59], ""scorePrediction"": [1, 2]}","{""predictions"": [43.15, 56.85, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [32.07, 41.79, 26.14], ""scorePrediction"": [0, 1]}","{""predictions"": [26.74, 73.26, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [21.55, 58.14, 20.31], ""scorePrediction"": [1, 2]}","{""predictions"": [39.11, 60.89, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [28.2, 48.08, 23.72], ""scorePrediction"": [0, 1]}","{""predictions"": [32.54, 67.46, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [25.06, 51.92, 23.02], ""scorePrediction"": [1, 2]}","{""predictions"": [37.19, 62.81, 0.0], ""scorePrediction"": [0, 1]}","{""predictions"": [29.28, 46.72, 24.0], ""scorePrediction"": [0, 1]}","{""predictions"": [34.43, 65.57, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.11, 51.04, 22.85], ""scorePrediction"": [1, 2]}","{""predictions"": [61.34, 38.66, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [42.06, 28.45, 29.49], ""scorePrediction"": [1, 0]}"
Austria,"{""predictions"": [64.26, 35.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.4, 27.4, 24.2], ""scorePrediction"": [1, 0]}",,,"{""predictions"": [43.32, 56.68, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.17, 45.31, 21.52], ""scorePrediction"": [1, 2]}","{""predictions"": [45.22, 54.78, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.55, 43.96, 21.49], ""scorePrediction"": [1, 2]}","{""predictions"": [54.29, 45.71, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.59, 33.41, 23.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.58, 57.42, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.39, 45.91, 21.7], ""scorePrediction"": [1, 2]}","{""predictions"": [43.28, 56.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.57, 43.43, 22.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.62, 66.38, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [26.63, 53.48, 19.89], ""scorePrediction"": [1, 2]}","{""predictions"": [57.9, 42.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.41, 33.3, 23.29], ""scorePrediction"": [2, 1]}","{""predictions"": [55.64, 44.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.27, 33.08, 23.65], ""scorePrediction"": [2, 1]}","{""predictions"": [58.91, 41.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.17, 32.17, 23.66], ""scorePrediction"": [2, 1]}","{""predictions"": [56.69, 43.31, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.53, 31.35, 24.12], ""scorePrediction"": [2, 1]}","{""predictions"": [68.73, 31.27, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [52.49, 22.87, 24.64], ""scorePrediction"": [1, 0]}","{""predictions"": [44.11, 55.89, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.34, 43.41, 22.25], ""scorePrediction"": [1, 2]}","{""predictions"": [53.37, 46.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.73, 35.54, 23.73], ""scorePrediction"": [2, 1]}","{""predictions"": [51.54, 48.46, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.12, 36.71, 23.17], ""scorePrediction"": [2, 1]}","{""predictions"": [47.17, 52.83, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.84, 39.62, 22.54], ""scorePrediction"": [1, 2]}","{""predictions"": [58.79, 41.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.93, 32.2, 23.87], ""scorePrediction"": [2, 1]}","{""predictions"": [39.36, 60.64, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.68, 47.52, 20.8], ""scorePrediction"": [1, 2]}","{""predictions"": [51.48, 48.52, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.83, 37.08, 22.09], ""scorePrediction"": [2, 1]}","{""predictions"": [46.76, 53.24, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.1, 41.42, 22.48], ""scorePrediction"": [1, 2]}","{""predictions"": [50.12, 49.88, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.11, 37.25, 22.64], ""scorePrediction"": [2, 1]}","{""predictions"": [48.53, 51.47, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.36, 40.29, 22.35], ""scorePrediction"": [1, 2]}","{""predictions"": [72.89, 27.11, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [56.02, 19.7, 24.28], ""scorePrediction"": [1, 0]}"
Belgium,"{""predictions"": [71.64, 28.36, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.6, 23.88, 21.52], ""scorePrediction"": [2, 1]}","{""predictions"": [57.5, 42.5, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.79, 32.84, 21.37], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [52.11, 47.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.63, 36.08, 22.29], ""scorePrediction"": [2, 1]}","{""predictions"": [62.37, 37.63, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.61, 29.59, 21.8], ""scorePrediction"": [2, 1]}","{""predictions"": [49.74, 50.26, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.54, 40.83, 20.63], ""scorePrediction"": [1, 2]}","{""predictions"": [51.15, 48.85, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.82, 39.03, 20.15], ""scorePrediction"": [2, 1]}","{""predictions"": [41.74, 58.26, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.85, 47.6, 19.55], ""scorePrediction"": [1, 2]}","{""predictions"": [64.78, 35.22, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.87, 27.98, 22.15], ""scorePrediction"": [2, 1]}","{""predictions"": [62.78, 37.22, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.04, 29.2, 21.76], ""scorePrediction"": [2, 1]}","{""predictions"": [64.46, 35.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.85, 26.74, 22.41], ""scorePrediction"": [2, 1]}","{""predictions"": [65.93, 34.07, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.99, 27.03, 20.98], ""scorePrediction"": [2, 1]}","{""predictions"": [74.93, 25.07, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [58.94, 19.62, 21.44], ""scorePrediction"": [2, 1]}","{""predictions"": [51.11, 48.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.88, 38.93, 20.19], ""scorePrediction"": [2, 1]}","{""predictions"": [60.67, 39.33, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.41, 30.68, 21.91], ""scorePrediction"": [2, 1]}","{""predictions"": [59.32, 40.68, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.08, 32.38, 21.54], ""scorePrediction"": [2, 1]}","{""predictions"": [57.34, 42.66, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.21, 34.16, 21.63], ""scorePrediction"": [2, 1]}","{""predictions"": [65.54, 34.46, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.33, 27.41, 22.26], ""scorePrediction"": [2, 1]}","{""predictions"": [46.45, 53.55, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.6, 42.49, 19.91], ""scorePrediction"": [1, 2]}","{""predictions"": [60.39, 39.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.91, 31.16, 20.93], ""scorePrediction"": [2, 1]}","{""predictions"": [54.01, 45.99, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.9, 35.74, 21.36], ""scorePrediction"": [2, 1]}","{""predictions"": [58.91, 41.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.47, 32.44, 21.09], ""scorePrediction"": [2, 1]}","{""predictions"": [56.0, 44.0, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.02, 34.33, 21.65], ""scorePrediction"": [2, 1]}","{""predictions"": [79.25, 20.75, 0.0], ""scorePrediction"": [2, 0]}","{""predictions"": [61.6, 17.05, 21.35], ""scorePrediction"": [1, 0]}"
Croatia,"{""predictions"": [69.75, 30.25, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.03, 23.54, 22.43], ""scorePrediction"": [2, 1]}","{""predictions"": [55.34, 44.66, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [43.07, 35.11, 21.82], ""scorePrediction"": [2, 1]}","{""predictions"": [47.68, 52.32, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.93, 41.32, 20.75], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [60.1, 39.9, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.66, 31.62, 21.72], ""scorePrediction"": [2, 1]}","{""predictions"": [46.93, 53.07, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [36.86, 41.98, 21.16], ""scorePrediction"": [1, 2]}","{""predictions"": [50.34, 49.66, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.02, 39.04, 21.94], ""scorePrediction"": [1, 2]}","{""predictions"": [37.79, 62.21, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.92, 49.16, 19.92], ""scorePrediction"": [1, 2]}","{""predictions"": [62.96, 37.04, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.46, 28.88, 21.66], ""scorePrediction"": [2, 1]}","{""predictions"": [60.43, 39.57, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.42, 31.3, 22.28], ""scorePrediction"": [2, 1]}","{""predictions"": [61.67, 38.33, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.03, 28.9, 22.07], ""scorePrediction"": [2, 1]}","{""predictions"": [65.18, 34.82, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.23, 28.26, 22.51], ""scorePrediction"": [2, 1]}","{""predictions"": [73.82, 26.18, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [57.97, 20.06, 21.97], ""scorePrediction"": [2, 1]}","{""predictions"": [49.51, 50.49, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.34, 40.27, 21.39], ""scorePrediction"": [1, 2]}","{""predictions"": [58.08, 41.92, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.13, 32.28, 22.59], ""scorePrediction"": [2, 1]}","{""predictions"": [56.44, 43.56, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.54, 33.33, 22.13], ""scorePrediction"": [2, 1]}","{""predictions"": [53.59, 46.41, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.2, 36.54, 21.26], ""scorePrediction"": [2, 1]}","{""predictions"": [62.91, 37.09, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.74, 28.19, 22.07], ""scorePrediction"": [2, 1]}","{""predictions"": [45.16, 54.84, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.47, 43.55, 20.98], ""scorePrediction"": [1, 2]}","{""predictions"": [58.04, 41.96, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.95, 33.27, 21.78], ""scorePrediction"": [2, 1]}","{""predictions"": [51.27, 48.73, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.51, 37.9, 21.59], ""scorePrediction"": [2, 1]}","{""predictions"": [58.11, 41.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.77, 33.79, 21.44], ""scorePrediction"": [2, 1]}","{""predictions"": [53.99, 46.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.14, 35.7, 22.16], ""scorePrediction"": [2, 1]}","{""predictions"": [78.08, 21.92, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [60.91, 17.67, 21.42], ""scorePrediction"": [1, 0]}"
Czechia,"{""predictions"": [59.23, 40.77, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [43.95, 30.51, 25.54], ""scorePrediction"": [1, 0]}","{""predictions"": [45.97, 54.03, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.46, 41.84, 23.7], ""scorePrediction"": [1, 2]}","{""predictions"": [37.55, 62.45, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.97, 49.3, 21.73], ""scorePrediction"": [1, 2]}","{""predictions"": [39.79, 60.21, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [31.55, 46.43, 22.02], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [36.63, 63.37, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [28.66, 49.9, 21.44], ""scorePrediction"": [1, 2]}","{""predictions"": [39.6, 60.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.41, 47.37, 22.22], ""scorePrediction"": [1, 2]}","{""predictions"": [29.55, 70.45, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [23.62, 57.32, 19.06], ""scorePrediction"": [1, 2]}","{""predictions"": [52.36, 47.64, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.88, 35.21, 24.91], ""scorePrediction"": [2, 1]}","{""predictions"": [50.76, 49.24, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [37.73, 37.6, 24.67], ""scorePrediction"": [2, 1]}","{""predictions"": [53.6, 46.4, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.02, 34.7, 24.28], ""scorePrediction"": [2, 1]}","{""predictions"": [53.35, 46.65, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.81, 35.29, 24.9], ""scorePrediction"": [2, 1]}","{""predictions"": [65.36, 34.64, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [48.38, 25.43, 26.19], ""scorePrediction"": [1, 0]}","{""predictions"": [38.85, 61.15, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [30.63, 47.51, 21.86], ""scorePrediction"": [1, 2]}","{""predictions"": [49.28, 50.72, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.65, 39.43, 24.92], ""scorePrediction"": [1, 2]}","{""predictions"": [46.94, 53.06, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.83, 40.72, 23.45], ""scorePrediction"": [1, 2]}","{""predictions"": [44.66, 55.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [34.3, 43.19, 22.51], ""scorePrediction"": [1, 2]}","{""predictions"": [54.35, 45.65, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.22, 34.57, 25.21], ""scorePrediction"": [2, 1]}","{""predictions"": [35.41, 64.59, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [27.45, 51.59, 20.96], ""scorePrediction"": [1, 2]}","{""predictions"": [46.69, 53.31, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.81, 40.59, 23.6], ""scorePrediction"": [1, 2]}","{""predictions"": [42.37, 57.63, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.78, 44.71, 22.51], ""scorePrediction"": [1, 2]}","{""predictions"": [47.45, 52.55, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.38, 40.35, 24.27], ""scorePrediction"": [1, 2]}","{""predictions"": [43.72, 56.28, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.08, 42.32, 22.6], ""scorePrediction"": [1, 2]}","{""predictions"": [69.0, 31.0, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [50.84, 22.79, 26.37], ""scorePrediction"": [1, 0]}"
England,"{""predictions"": [72.21, 27.79, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [56.84, 21.71, 21.45], ""scorePrediction"": [2, 1]}","{""predictions"": [58.16, 41.84, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.4, 32.01, 21.59], ""scorePrediction"": [2, 1]}","{""predictions"": [51.22, 48.78, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [40.22, 39.53, 20.25], ""scorePrediction"": [2, 1]}","{""predictions"": [53.9, 46.1, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.1, 36.72, 21.18], ""scorePrediction"": [2, 1]}","{""predictions"": [63.41, 36.59, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.87, 28.82, 21.31], ""scorePrediction"": [2, 1]}",,,"{""predictions"": [52.49, 47.51, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.28, 38.01, 20.71], ""scorePrediction"": [2, 1]}","{""predictions"": [41.66, 58.34, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [33.63, 46.95, 19.42], ""scorePrediction"": [1, 2]}","{""predictions"": [65.88, 34.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.58, 27.48, 21.94], ""scorePrediction"": [2, 1]}","{""predictions"": [64.43, 35.57, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.93, 27.57, 21.5], ""scorePrediction"": [2, 1]}","{""predictions"": [65.88, 34.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.56, 27.28, 21.16], ""scorePrediction"": [2, 1]}","{""predictions"": [66.95, 33.05, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [52.46, 25.55, 21.99], ""scorePrediction"": [2, 1]}","{""predictions"": [76.32, 23.68, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [60.36, 18.83, 20.81], ""scorePrediction"": [1, 0]}","{""predictions"": [52.39, 47.61, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.57, 36.63, 20.8], ""scorePrediction"": [2, 1]}","{""predictions"": [61.36, 38.64, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [48.65, 29.44, 21.91], ""scorePrediction"": [2, 1]}","{""predictions"": [59.17, 40.83, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.8, 31.66, 21.54], ""scorePrediction"": [2, 1]}","{""predictions"": [57.51, 42.49, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.82, 33.58, 21.6], ""scorePrediction"": [2, 1]}","{""predictions"": [65.89, 34.11, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [51.37, 26.46, 22.17], ""scorePrediction"": [2, 1]}","{""predictions"": [47.77, 52.23, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.98, 41.6, 20.42], ""scorePrediction"": [1, 2]}","{""predictions"": [60.62, 39.38, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.51, 31.13, 21.36], ""scorePrediction"": [2, 1]}","{""predictions"": [54.55, 45.45, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.08, 34.27, 21.65], ""scorePrediction"": [2, 1]}","{""predictions"": [58.84, 41.16, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.66, 31.34, 21.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.65, 42.35, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.71, 33.94, 21.35], ""scorePrediction"": [2, 1]}","{""predictions"": [79.72, 20.28, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [63.13, 16.44, 20.43], ""scorePrediction"": [1, 0]}"
France,"{""predictions"": [69.31, 30.69, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.54, 23.46, 22.0], ""scorePrediction"": [2, 1]}","{""predictions"": [54.94, 45.06, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.77, 34.05, 21.18], ""scorePrediction"": [2, 1]}","{""predictions"": [48.6, 51.4, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [38.74, 40.76, 20.5], ""scorePrediction"": [1, 2]}","{""predictions"": [50.79, 49.21, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [39.12, 38.91, 21.97], ""scorePrediction"": [2, 1]}","{""predictions"": [59.99, 40.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.03, 30.69, 22.28], ""scorePrediction"": [2, 1]}","{""predictions"": [46.61, 53.39, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [37.38, 42.62, 20.0], ""scorePrediction"": [1, 2]}",,,"{""predictions"": [38.86, 61.14, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [32.22, 48.55, 19.23], ""scorePrediction"": [1, 2]}","{""predictions"": [63.26, 36.74, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.31, 28.56, 22.13], ""scorePrediction"": [2, 1]}","{""predictions"": [60.88, 39.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [47.47, 30.1, 22.43], ""scorePrediction"": [2, 1]}","{""predictions"": [64.54, 35.46, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.13, 28.19, 22.68], ""scorePrediction"": [2, 1]}","{""predictions"": [64.63, 35.37, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [50.26, 27.98, 21.76], ""scorePrediction"": [2, 1]}","{""predictions"": [74.81, 25.19, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [57.66, 20.24, 22.1], ""scorePrediction"": [2, 1]}","{""predictions"": [49.33, 50.67, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [40.32, 38.96, 20.72], ""scorePrediction"": [2, 1]}","{""predictions"": [59.46, 40.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [46.28, 31.58, 22.14], ""scorePrediction"": [2, 1]}","{""predictions"": [57.21, 42.79, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [45.17, 33.03, 21.8], ""scorePrediction"": [2, 1]}","{""predictions"": [54.85, 45.15, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.08, 36.21, 21.71], ""scorePrediction"": [2, 1]}","{""predictions"": [63.42, 36.58, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [49.5, 28.08, 22.42], ""scorePrediction"": [2, 1]}","{""predictions"": [45.83, 54.17, 0.0], ""scorePrediction"": [1, 2]}","{""predictions"": [35.83, 43.62, 20.55], ""scorePrediction"": [1, 2]}","{""predictions"": [58.46, 41.54, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.6, 33.46, 21.94], ""scorePrediction"": [2, 1]}","{""predictions"": [51.99, 48.01, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [41.01, 37.28, 21.71], ""scorePrediction"": [2, 1]}","{""predictions"": [57.11, 42.89, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [44.28, 33.99, 21.73], ""scorePrediction"": [2, 1]}","{""predictions"": [54.88, 45.12, 0.0], ""scorePrediction"": [2, 1]}","{""predictions"": [42.87, 34.82, 22.31], ""scorePrediction"": [2, 1]}","{""predictions"": [78.19, 21.81, 0.0], ""scorePrediction"": [1, 0]}","{""predictions"": [60.4, 17.32, 22.28], ""scorePrediction"": [1, 0]}"
