home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
FR,IT,1,1,,,2,1,2000-07-02T18:00:00Z,Final,Stadion Feijenoord 'De Kuip',Rotterdam
IT,NL,0,0,3,1,3,1,2000-06-29T16:00:00Z,Semi-finals,Johan Cruijff ArenA,Amsterdam
FR,PT,1,1,,,2,1,2000-06-28T18:45:00Z,Semi-finals,King Baudouin Stadium,Brussels
ES,FR,1,2,,,1,2,2000-06-25T18:45:00Z,Quarter-finals,Jan Breydelstadion,Bruges
NL,RS,6,1,,,6,1,2000-06-25T16:00:00Z,Quarter-finals,Stadion Feijenoord 'De Kuip',Rotterdam
IT,RO,2,0,,,2,0,2000-06-24T18:45:00Z,Quarter-finals,King Baudouin Stadium,Brussels
TR,PT,0,2,,,0,2,2000-06-24T16:00:00Z,Quarter-finals,Johan Cruijff ArenA,Amsterdam
FR,NL,2,3,,,2,3,2000-06-21T18:45:00Z,Group D,Johan Cruijff ArenA,Amsterdam
DK,CZ,0,2,,,0,2,2000-06-21T18:45:00Z,Group D,Stade Maurice Dufrasne,Liege
SI,NO,0,0,,,0,0,2000-06-21T16:00:00Z,Group C,GelreDome,Arnhem
RS,ES,3,4,,,3,4,2000-06-21T16:00:00Z,Group C,Jan Breydelstadion,Bruges
PT,DE,3,0,,,3,0,2000-06-20T18:45:00Z,Group A,Stadion Feijenoord 'De Kuip',Rotterdam
GB-ENG,RO,2,3,,,2,3,2000-06-20T18:45:00Z,Group A,Stade du Pays de Charleroi,Charleroi
IT,SE,2,1,,,2,1,2000-06-19T18:45:00Z,Group B,PSV Stadion,Eindhoven
TR,BE,2,0,,,2,0,2000-06-19T18:45:00Z,Group B,King Baudouin Stadium,Brussels
NO,RS,0,1,,,0,1,2000-06-18T18:45:00Z,Group C,Stade Maurice Dufrasne,Liege
SI,ES,1,2,,,1,2,2000-06-18T16:00:00Z,Group C,Johan Cruijff ArenA,Amsterdam
GB-ENG,DE,1,0,,,1,0,2000-06-17T18:45:00Z,Group A,Stade du Pays de Charleroi,Charleroi
RO,PT,0,1,,,0,1,2000-06-17T16:00:00Z,Group A,GelreDome,Arnhem
DK,NL,0,3,,,0,3,2000-06-16T18:45:00Z,Group D,Stadion Feijenoord 'De Kuip',Rotterdam
CZ,FR,1,2,,,1,2,2000-06-16T16:00:00Z,Group D,Jan Breydelstadion,Bruges
SE,TR,0,0,,,0,0,2000-06-15T18:45:00Z,Group B,PSV Stadion,Eindhoven
IT,BE,2,0,,,2,0,2000-06-14T18:45:00Z,Group B,King Baudouin Stadium,Brussels
RS,SI,3,3,,,3,3,2000-06-13T18:45:00Z,Group C,Stade du Pays de Charleroi,Charleroi
ES,NO,0,1,,,0,1,2000-06-13T16:00:00Z,Group C,Stadion Feijenoord 'De Kuip',Rotterdam
PT,GB-ENG,3,2,,,3,2,2000-06-12T18:45:00Z,Group A,PSV Stadion,Eindhoven
DE,RO,1,1,,,1,1,2000-06-12T16:00:00Z,Group A,Stade Maurice Dufrasne,Liege
NL,CZ,1,0,,,1,0,2000-06-11T18:45:00Z,Group D,Johan Cruijff ArenA,Amsterdam
FR,DK,3,0,,,3,0,2000-06-11T16:00:00Z,Group D,Jan Breydelstadion,Bruges
TR,IT,1,2,,,1,2,2000-06-11T12:30:00Z,Group B,GelreDome,Arnhem
BE,SE,2,1,,,2,1,2000-06-10T18:45:00Z,Group B,King Baudouin Stadium,Brussels
