home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
IT,RS,2,0,,,2,0,1968-06-10T20:15:00Z,Final,Stadio Olimpico,Rome
IT,RS,1,1,,,1,1,1968-06-08T21:15:00Z,Final,Stadio Olimpico,Rome
GB-ENG,RU,2,0,,,2,0,1968-06-08T14:00:00Z,Third-place play-off,Stadio Olimpico,Rome
RS,GB-ENG,1,0,,,1,0,1968-06-05T20:15:00Z,Semi-finals,Stadio Artemio Franchi,Florence
IT,RU,0,0,,,0,0,1968-06-05T17:00:00Z,Semi-finals,Stadio Diego Armando Maradona,Naples
