home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
LT,GI,1,0,,,1,0,2024-03-26T17:00:00Z,Play-outs,Dariaus ir Girėno stadionas,Kaunas
GI,LT,0,1,,,0,1,2024-03-21T19:45:00Z,Play-outs,Estádio Algarve,Faro-Loulé
HR,ES,0,0,4,5,4,5,2023-06-18T18:45:00Z,Final,Stadion Feijenoord 'De Kuip',Rotterdam
NL,IT,2,3,,,2,3,2023-06-18T13:00:00Z,Third-place play-off,FC Twente Stadion,Enschede
ES,IT,2,1,,,2,1,2023-06-15T18:45:00Z,Semi-finals,FC Twente Stadion,Enschede
NL,HR,2,2,,,2,4,2023-06-14T18:45:00Z,Semi-finals,Stadion Feijenoord 'De Kuip',Rotterdam
UA,GB-SCT,0,0,,,0,0,2022-09-27T18:45:00Z,Group B1,Cracovia Stadium,Krakow
IE,AM,3,2,,,3,2,2022-09-27T18:45:00Z,Group B1,Aviva Stadium,Dublin
CH,CZ,2,1,,,2,1,2022-09-27T18:45:00Z,Group A2,Kybunpark,St Gallen
PT,ES,0,1,,,0,1,2022-09-27T18:45:00Z,Group A2,Estádio Municipal de Braga,Braga
RU,IL,,,,,0,0,2022-09-27T18:45:00Z,Group B2,,
SE,SI,1,1,,,1,1,2022-09-27T18:45:00Z,Group B4,Friends Arena,Solna
AL,IS,1,1,,,1,1,2022-09-27T18:45:00Z,Group B2,Air AL Stadium,Tirana
GR,GB-NIR,3,1,,,3,1,2022-09-27T18:45:00Z,Group C2,Georgios Kamaras Stadium,Athens
NO,RS,0,2,,,0,2,2022-09-27T18:45:00Z,Group B4,Ullevaal Stadion,Oslo
XK,CY,5,1,,,5,1,2022-09-27T18:45:00Z,Group C2,Stadiumi Fadil Vokrri,Pristina
ME,FI,0,2,,,0,2,2022-09-26T18:45:00Z,Group B3,Gradski Stadion Podgorica,Podgorica
GB-ENG,DE,3,3,,,3,3,2022-09-26T18:45:00Z,Group A3,Wembley Stadium,London
HU,IT,0,2,,,0,2,2022-09-26T18:45:00Z,Group A3,Puskás Aréna,Budapest
RO,BA,4,1,,,4,1,2022-09-26T18:45:00Z,Group B3,Giulesti Stadium,Bucharest
SM,EE,0,4,,,0,4,2022-09-26T18:45:00Z,Group D2,SM Stadium,Serravalle
MK,BG,0,1,,,0,1,2022-09-26T18:45:00Z,Group C4,National Arena Todor Proeski,Skopje
GI,GE,1,2,,,1,2,2022-09-26T18:45:00Z,Group C4,Victoria Stadium,GI
NL,BE,1,0,,,1,0,2022-09-25T18:45:00Z,Group A4,Johan Cruijff ArenA,Amsterdam
AT,HR,1,3,,,1,3,2022-09-25T18:45:00Z,Group A1,Ernst-Happel-Stadion,Vienna
GB-WLS,PL,0,1,,,0,1,2022-09-25T18:45:00Z,Group A4,Cardiff City Stadium,Cardiff
DK,FR,2,0,,,2,0,2022-09-25T18:45:00Z,Group A1,Parken,Copenhagen
LU,LT,1,0,,,1,0,2022-09-25T18:45:00Z,Group C1,Stade de LU,LU
FO,TR,2,1,,,2,1,2022-09-25T18:45:00Z,Group C1,Tórsvøllur,Torshavn
SK,BY,1,1,,,1,1,2022-09-25T16:00:00Z,Group C3,TSC Arena,Backa Topola
AZ,KZ,3,0,,,3,0,2022-09-25T16:00:00Z,Group C3,Liv Bona Dea Arena,Baku
AD,LV,1,1,,,1,1,2022-09-25T13:00:00Z,Group D1,Estadi Nacional,AD la Vella
MD,LI,2,0,,,2,0,2022-09-25T13:00:00Z,Group D1,Stadionul Zimbru,Chișinău
GB-SCT,IE,2,1,,,2,1,2022-09-24T18:45:00Z,Group B1,Hampden Park,Glasgow
CY,GR,1,0,,,1,0,2022-09-24T18:45:00Z,Group C2,AEK Arena,Larnaca
ES,CH,1,2,,,1,2,2022-09-24T18:45:00Z,Group A2,La Romareda,Zaragoza
CZ,PT,0,4,,,0,4,2022-09-24T18:45:00Z,Group A2,Fortuna Arena,Prague
IL,AL,2,1,,,2,1,2022-09-24T18:45:00Z,Group B2,Bloomfield Stadium,Tel Aviv
RS,SE,4,1,,,4,1,2022-09-24T18:45:00Z,Group B4,Stadion Rajko Mitić,Belgrade
GB-NIR,XK,2,1,,,2,1,2022-09-24T16:00:00Z,Group C2,National Football Stadium at Windsor Park,Belfast
SI,NO,2,1,,,2,1,2022-09-24T16:00:00Z,Group B4,Stadion Stožice,Ljubljana
AM,UA,0,5,,,0,5,2022-09-24T13:00:00Z,Group B1,Republican Stadium after Vazgen Sargsyan,Yerevan
IS,RU,,,,,0,0,2022-09-24T13:00:00Z,Group B2,,
DE,HU,0,1,,,0,1,2022-09-23T18:45:00Z,Group A3,Red Bull Arena,Leipzig
IT,GB-ENG,1,0,,,1,0,2022-09-23T18:45:00Z,Group A3,Stadio San Siro,Milan
FI,RO,1,1,,,1,1,2022-09-23T18:45:00Z,Group B3,Helsinki Olympic Stadium,Helsinki
BG,GI,5,1,,,5,1,2022-09-23T18:45:00Z,Group C4,Huvepharma Arena,Razgrad
BA,ME,1,0,,,1,0,2022-09-23T18:45:00Z,Group B3,Stadion Bilino Polje,Zenica
GE,MK,2,0,,,2,0,2022-09-23T16:00:00Z,Group C4,Boris Paichadze National Stadium,Tbilisi
EE,MT,2,1,,,2,1,2022-09-23T16:00:00Z,Group D2,A. Le Coq Arena,Tallinn
FR,AT,2,0,,,2,0,2022-09-22T18:45:00Z,Group A1,Stade de FR,Saint-Denis
BE,GB-WLS,2,1,,,2,1,2022-09-22T18:45:00Z,Group A4,King Baudouin Stadium,Brussels
PL,NL,0,2,,,0,2,2022-09-22T18:45:00Z,Group A4,PGE Narodowy,Warsaw
HR,DK,2,1,,,2,1,2022-09-22T18:45:00Z,Group A1,Stadion Maksimir,Zagreb
SK,AZ,1,2,,,1,2,2022-09-22T18:45:00Z,Group C3,Štadión Antona Malatinského,Trnava
TR,LU,3,3,,,3,3,2022-09-22T18:45:00Z,Group C1,Başakşehir Fatih Terim Stadyumu,Istanbul
LT,FO,1,1,,,1,1,2022-09-22T18:45:00Z,Group C1,LFF stadionas,Vilnius
LI,AD,0,2,,,0,2,2022-09-22T18:45:00Z,Group D1,Rheinpark Stadion,Vaduz
LV,MD,1,2,,,1,2,2022-09-22T16:00:00Z,Group D1,Skonto Stadions,Riga
KZ,BY,2,1,,,2,1,2022-09-22T14:00:00Z,Group C3,Astana Arena,Astana
GB-SCT,UA,3,0,,,3,0,2022-09-21T18:45:00Z,Group B1,Hampden Park,Glasgow
RO,ME,0,3,,,0,3,2022-06-14T18:45:00Z,Group B3,Giulesti Stadium,Bucharest
