home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
ES,IT,4,0,,,4,0,2012-07-01T18:45:00Z,Final,NSC Olimpiyskiy,Kyiv
DE,IT,1,2,,,1,2,2012-06-28T18:45:00Z,Semi-finals,Stadion Narodowy,Warsaw
PT,ES,0,0,2,4,2,4,2012-06-27T18:45:00Z,Semi-finals,Donbass Arena,Donetsk
GB-ENG,IT,0,0,2,4,2,4,2012-06-24T18:45:00Z,Quarter-finals,NSC Olimpiyskiy,Kyiv
ES,FR,2,0,,,2,0,2012-06-23T18:45:00Z,Quarter-finals,Donbass Arena,Donetsk
DE,GR,4,2,,,4,2,2012-06-22T18:45:00Z,Quarter-finals,Gdansk Stadium,Gdansk
CZ,PT,0,1,,,0,1,2012-06-21T18:45:00Z,Quarter-finals,Stadion Narodowy,Warsaw
SE,FR,2,0,,,2,0,2012-06-19T18:45:00Z,Group D,NSC Olimpiyskiy,Kyiv
GB-ENG,UA,1,0,,,1,0,2012-06-19T18:45:00Z,Group D,Donbass Arena,Donetsk
IT,IE,2,0,,,2,0,2012-06-18T18:45:00Z,Group C,Poznań Stadium,Poznań
HR,ES,0,1,,,0,1,2012-06-18T18:45:00Z,Group C,Gdansk Stadium,Gdansk
DK,DE,1,2,,,1,2,2012-06-17T18:45:00Z,Group B,Arena Lviv,Lviv
PT,NL,2,1,,,2,1,2012-06-17T18:45:00Z,Group B,OSC Metalist,Kharkiv
GR,RU,1,0,,,1,0,2012-06-16T18:45:00Z,Group A,Stadion Narodowy,Warsaw
CZ,PL,1,0,,,1,0,2012-06-16T18:45:00Z,Group A,Stadion Miejski we Wrocławiu,Wroclaw
SE,GB-ENG,2,3,,,2,3,2012-06-15T18:45:00Z,Group D,NSC Olimpiyskiy,Kyiv
UA,FR,0,2,,,0,2,2012-06-15T16:00:00Z,Group D,Donbass Arena,Donetsk
ES,IE,4,0,,,4,0,2012-06-14T18:45:00Z,Group C,Gdansk Stadium,Gdansk
IT,HR,1,1,,,1,1,2012-06-14T16:00:00Z,Group C,Poznań Stadium,Poznań
NL,DE,1,2,,,1,2,2012-06-13T18:45:00Z,Group B,OSC Metalist,Kharkiv
DK,PT,2,3,,,2,3,2012-06-13T16:00:00Z,Group B,Arena Lviv,Lviv
PL,RU,1,1,,,1,1,2012-06-12T18:45:00Z,Group A,Stadion Narodowy,Warsaw
GR,CZ,1,2,,,1,2,2012-06-12T16:00:00Z,Group A,Stadion Miejski we Wrocławiu,Wroclaw
UA,SE,2,1,,,2,1,2012-06-11T18:45:00Z,Group D,NSC Olimpiyskiy,Kyiv
FR,GB-ENG,1,1,,,1,1,2012-06-11T16:00:00Z,Group D,Donbass Arena,Donetsk
IE,HR,1,3,,,1,3,2012-06-10T18:45:00Z,Group C,Poznań Stadium,Poznań
ES,IT,1,1,,,1,1,2012-06-10T16:00:00Z,Group C,Gdansk Stadium,Gdansk
DE,PT,1,0,,,1,0,2012-06-09T18:45:00Z,Group B,Arena Lviv,Lviv
NL,DK,0,1,,,0,1,2012-06-09T16:00:00Z,Group B,OSC Metalist,Kharkiv
RU,CZ,4,1,,,4,1,2012-06-08T18:45:00Z,Group A,Stadion Miejski we Wrocławiu,Wroclaw
PL,GR,1,1,,,1,1,2012-06-08T16:00:00Z,Group A,Stadion Narodowy,Warsaw
