home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
PT,FR,0,0,,,1,0,2016-07-10T19:00:00Z,Final,Stade de FR,Saint-Denis
DE,FR,0,2,,,0,2,2016-07-07T19:00:00Z,Semi-finals,Stade de Marseille,Marseille
PT,GB-WLS,2,0,,,2,0,2016-07-06T19:00:00Z,Semi-finals,OL Stadium,Lyon
FR,IS,5,2,,,5,2,2016-07-03T19:00:00Z,Quarter-finals,Stade de FR,Saint-Denis
DE,IT,1,1,6,5,7,6,2016-07-02T19:00:00Z,Quarter-finals,Stade de Bordeaux,Bordeaux
GB-WLS,BE,3,1,,,3,1,2016-07-01T19:00:00Z,Quarter-finals,Stade Pierre Mauroy,Lille Métropole
PL,PT,1,1,3,5,4,6,2016-06-30T19:00:00Z,Quarter-finals,Stade de Marseille,Marseille
GB-ENG,IS,1,2,,,1,2,2016-06-27T19:00:00Z,Round of 16,Grand Stade de Nice,Nice
IT,ES,2,0,,,2,0,2016-06-27T16:00:00Z,Round of 16,Stade de FR,Saint-Denis
HU,BE,0,4,,,0,4,2016-06-26T19:00:00Z,Round of 16,Stadium de Toulouse,Toulouse
DE,SK,3,0,,,3,0,2016-06-26T16:00:00Z,Round of 16,Stade Pierre Mauroy,Lille Métropole
FR,IE,2,1,,,2,1,2016-06-26T13:00:00Z,Round of 16,OL Stadium,Lyon
HR,PT,0,0,,,0,1,2016-06-25T19:00:00Z,Round of 16,Stade Bollaert-Delelis,Lens Agglo
GB-WLS,GB-NIR,1,0,,,1,0,2016-06-25T16:00:00Z,Round of 16,Parc des Princes,Paris
CH,PL,1,1,4,5,5,6,2016-06-25T13:00:00Z,Round of 16,Stade Geoffroy Guichard,Saint-Etienne
SE,BE,0,1,,,0,1,2016-06-22T19:00:00Z,Group E,Grand Stade de Nice,Nice
IT,IE,0,1,,,0,1,2016-06-22T19:00:00Z,Group E,Stade Pierre Mauroy,Lille Métropole
HU,PT,3,3,,,3,3,2016-06-22T16:00:00Z,Group F,OL Stadium,Lyon
IS,AT,2,1,,,2,1,2016-06-22T16:00:00Z,Group F,Stade de FR,Saint-Denis
HR,ES,2,1,,,2,1,2016-06-21T19:00:00Z,Group D,Stade de Bordeaux,Bordeaux
CZ,TR,0,2,,,0,2,2016-06-21T19:00:00Z,Group D,Stade Bollaert-Delelis,Lens Agglo
GB-NIR,DE,0,1,,,0,1,2016-06-21T16:00:00Z,Group C,Parc des Princes,Paris
UA,PL,0,1,,,0,1,2016-06-21T16:00:00Z,Group C,Stade de Marseille,Marseille
SK,GB-ENG,0,0,,,0,0,2016-06-20T19:00:00Z,Group B,Stade Geoffroy Guichard,Saint-Etienne
RU,GB-WLS,0,3,,,0,3,2016-06-20T19:00:00Z,Group B,Stadium de Toulouse,Toulouse
CH,FR,0,0,,,0,0,2016-06-19T19:00:00Z,Group A,Stade Pierre Mauroy,Lille Métropole
RO,AL,0,1,,,0,1,2016-06-19T19:00:00Z,Group A,OL Stadium,Lyon
PT,AT,0,0,,,0,0,2016-06-18T19:00:00Z,Group F,Parc des Princes,Paris
IS,HU,1,1,,,1,1,2016-06-18T16:00:00Z,Group F,Stade de Marseille,Marseille
BE,IE,3,0,,,3,0,2016-06-18T13:00:00Z,Group E,Stade de Bordeaux,Bordeaux
ES,TR,3,0,,,3,0,2016-06-17T19:00:00Z,Group D,Grand Stade de Nice,Nice
CZ,HR,2,2,,,2,2,2016-06-17T16:00:00Z,Group D,Stade Geoffroy Guichard,Saint-Etienne
IT,SE,1,0,,,1,0,2016-06-17T13:00:00Z,Group E,Stadium de Toulouse,Toulouse
DE,PL,0,0,,,0,0,2016-06-16T19:00:00Z,Group C,Stade de FR,Saint-Denis
UA,GB-NIR,0,2,,,0,2,2016-06-16T16:00:00Z,Group C,OL Stadium,Lyon
GB-ENG,GB-WLS,2,1,,,2,1,2016-06-16T13:00:00Z,Group B,Stade Bollaert-Delelis,Lens Agglo
FR,AL,2,0,,,2,0,2016-06-15T19:00:00Z,Group A,Stade de Marseille,Marseille
RO,CH,1,1,,,1,1,2016-06-15T16:00:00Z,Group A,Parc des Princes,Paris
RU,SK,1,2,,,1,2,2016-06-15T13:00:00Z,Group B,Stade Pierre Mauroy,Lille Métropole
PT,IS,1,1,,,1,1,2016-06-14T19:00:00Z,Group F,Stade Geoffroy Guichard,Saint-Etienne
AT,HU,0,2,,,0,2,2016-06-14T16:00:00Z,Group F,Stade de Bordeaux,Bordeaux
BE,IT,0,2,,,0,2,2016-06-13T19:00:00Z,Group E,OL Stadium,Lyon
IE,SE,1,1,,,1,1,2016-06-13T16:00:00Z,Group E,Stade de FR,Saint-Denis
ES,CZ,1,0,,,1,0,2016-06-13T13:00:00Z,Group D,Stadium de Toulouse,Toulouse
DE,UA,2,0,,,2,0,2016-06-12T19:00:00Z,Group C,Stade Pierre Mauroy,Lille Métropole
PL,GB-NIR,1,0,,,1,0,2016-06-12T16:00:00Z,Group C,Grand Stade de Nice,Nice
TR,HR,0,1,,,0,1,2016-06-12T13:00:00Z,Group D,Parc des Princes,Paris
GB-ENG,RU,1,1,,,1,1,2016-06-11T19:00:00Z,Group B,Stade de Marseille,Marseille
GB-WLS,SK,2,1,,,2,1,2016-06-11T16:00:00Z,Group B,Stade de Bordeaux,Bordeaux
AL,CH,0,1,,,0,1,2016-06-11T13:00:00Z,Group A,Stade Bollaert-Delelis,Lens Agglo
FR,RO,2,1,,,2,1,2016-06-10T19:00:00Z,Group A,Stade de FR,Saint-Denis
