home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
RU,NL,0,2,,,0,2,1988-06-25T13:30:00Z,Final,Olympiastadion,Munich
RU,IT,2,0,,,2,0,1988-06-22T18:15:00Z,Semi-finals,Arena Stuttgart,Stuttgart
DE,NL,1,2,,,1,2,1988-06-21T18:15:00Z,Semi-finals,Volksparkstadion,Hamburg
IE,NL,0,1,,,0,1,1988-06-18T13:30:00Z,Group 2,Parkstadion,Gelsenkirchen
GB-ENG,RU,1,3,,,1,3,1988-06-18T13:30:00Z,Group 2,Waldstadion (old),Frankfurt am Main
DE,ES,2,0,,,2,0,1988-06-17T18:15:00Z,Group 1,Olympiastadion,Munich
IT,DK,2,0,,,2,0,1988-06-17T18:15:00Z,Group 1,Stadion Köln,Cologne
IE,RU,1,1,,,1,1,1988-06-15T18:15:00Z,Group 2,Stadion Hannover,Hanover
GB-ENG,NL,1,3,,,1,3,1988-06-15T15:15:00Z,Group 2,Rheinstadion,Dusseldorf
IT,ES,1,0,,,1,0,1988-06-14T18:15:00Z,Group 1,Waldstadion (old),Frankfurt am Main
DE,DK,2,0,,,2,0,1988-06-14T15:15:00Z,Group 1,Parkstadion,Gelsenkirchen
NL,RU,0,1,,,0,1,1988-06-12T18:15:00Z,Group 2,Stadion Köln,Cologne
GB-ENG,IE,0,1,,,0,1,1988-06-12T13:30:00Z,Group 2,Arena Stuttgart,Stuttgart
DK,ES,2,3,,,2,3,1988-06-11T13:30:00Z,Group 1,Stadion Hannover,Hanover
DE,IT,1,1,,,1,1,1988-06-10T18:15:00Z,Group 1,Rheinstadion,Dusseldorf
