home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
CY,EE,2,0,,,2,0,2022-03-29T16:00:00Z,Play-outs,AEK Arena,Larnaca
KZ,MD,0,1,5,4,5,5,2022-03-29T14:00:00Z,Play-outs,Astana Arena,Astana
EE,CY,0,0,,,0,0,2022-03-24T17:00:00Z,Play-outs,A. Le Coq Arena,Tallinn
MD,KZ,1,2,,,1,2,2022-03-24T17:00:00Z,Play-outs,Stadionul Zimbru,Chișinău
ES,FR,1,2,,,1,2,2021-10-10T18:45:00Z,Final,Stadio San Siro,Milan
IT,BE,2,1,,,2,1,2021-10-10T13:00:00Z,Third-place play-off,Juventus Stadium,Turin
BE,FR,2,3,,,2,3,2021-10-07T18:45:00Z,Semi-finals,Juventus Stadium,Turin
IT,ES,1,2,,,1,2,2021-10-06T18:45:00Z,Semi-finals,Stadio San Siro,Milan
BE,DK,4,2,,,4,2,2020-11-18T19:45:00Z,Group A2,Den Dreef,Leuven
GB-ENG,IS,4,0,,,4,0,2020-11-18T19:45:00Z,Group A2,Wembley Stadium,London
GB-WLS,FI,3,1,,,3,1,2020-11-18T19:45:00Z,Group B4,Cardiff City Stadium,Cardiff
IE,BG,0,0,,,0,0,2020-11-18T19:45:00Z,Group B4,Aviva Stadium,Dublin
GR,SI,0,0,,,0,0,2020-11-18T19:45:00Z,Group C3,Georgios Kamaras Stadium,Athens
XK,MD,1,0,,,1,0,2020-11-18T19:45:00Z,Group C3,Stadiumi Fadil Vokrri,Pristina
PL,NL,1,2,,,1,2,2020-11-18T19:45:00Z,Group A1,Silesian Stadium,Chorzow
CZ,SK,2,0,,,2,0,2020-11-18T19:45:00Z,Group B2,Doosan Arena,Plzen
AT,NO,1,1,,,1,1,2020-11-18T19:45:00Z,Group B1,Ernst-Happel-Stadion,Vienna
BA,IT,0,2,,,0,2,2020-11-18T19:45:00Z,Group A1,Stadion Grbavica,Sarajevo
GB-NIR,RO,1,1,,,1,1,2020-11-18T19:45:00Z,Group B1,National Football Stadium at Windsor Park,Belfast
IL,GB-SCT,1,0,,,1,0,2020-11-18T19:45:00Z,Group B2,Netanya Stadium,Netanya
HU,TR,2,0,,,2,0,2020-11-18T19:45:00Z,Group B3,Puskás Aréna,Budapest
RS,RU,5,0,,,5,0,2020-11-18T19:45:00Z,Group B3,Stadion Rajko Mitić,Belgrade
GE,EE,0,0,,,0,0,2020-11-18T17:00:00Z,Group C2,Boris Paichadze National Stadium,Tbilisi
AM,MK,1,0,,,1,0,2020-11-18T17:00:00Z,Group C2,N/A,Nicosia
AL,BY,3,2,,,3,2,2020-11-18T15:00:00Z,Group C4,Air AL Stadium,Tirana
KZ,LT,1,2,,,1,2,2020-11-18T15:00:00Z,Group C4,Almaty Ortalyk Stadion,Almaty
FR,SE,4,2,,,4,2,2020-11-17T19:45:00Z,Group A3,Stade de FR,Saint-Denis
HR,PT,2,3,,,2,3,2020-11-17T19:45:00Z,Group A3,Stadion Poljud,Split
ME,CY,4,0,,,4,0,2020-11-17T19:45:00Z,Group C1,Gradski Stadion Podgorica,Podgorica
LU,AZ,0,0,,,0,0,2020-11-17T19:45:00Z,Group C1,Stade Josy Barthel,LU
CH,UA,0,0,,,3,0,2020-11-17T19:45:00Z,Group A4,Swissporarena,Lucerne
ES,DE,6,0,,,6,0,2020-11-17T19:45:00Z,Group A4,Estadio La Cartuja de Sevilla,Seville
GI,LI,1,1,,,1,1,2020-11-17T19:45:00Z,Group D2,Victoria Stadium,GI
AD,LV,0,5,,,0,5,2020-11-17T19:45:00Z,Group D1,Estadi Nacional,AD la Vella
MT,FO,1,1,,,1,1,2020-11-17T19:45:00Z,Group D1,National Stadium,Ta' Qali
BE,GB-ENG,2,0,,,2,0,2020-11-15T19:45:00Z,Group A2,Den Dreef,Leuven
DK,IS,2,1,,,2,1,2020-11-15T19:45:00Z,Group A2,Parken,Copenhagen
SI,XK,2,1,,,2,1,2020-11-15T19:45:00Z,Group C3,Stadion Stožice,Ljubljana
MD,GR,0,2,,,0,2,2020-11-15T19:45:00Z,Group C3,Stadionul Zimbru,Chișinău
AT,GB-NIR,2,1,,,2,1,2020-11-15T19:45:00Z,Group B1,Ernst-Happel-Stadion,Vienna
RO,NO,3,0,,,3,0,2020-11-15T19:45:00Z,Group B1,National Arena Bucharest,Bucharest
IT,PL,2,0,,,2,0,2020-11-15T19:45:00Z,Group A1,Mapei Stadium,Reggio Emilia
CZ,IL,1,0,,,1,0,2020-11-15T19:45:00Z,Group B2,Doosan Arena,Plzen
HU,RS,1,1,,,1,1,2020-11-15T19:45:00Z,Group B3,Puskás Aréna,Budapest
BY,LT,2,0,,,2,0,2020-11-15T17:00:00Z,Group C4,National Olympic Stadium Dinamo,Minsk
AL,KZ,3,1,,,3,1,2020-11-15T17:00:00Z,Group C4,Air AL Stadium,Tirana
GE,AM,1,2,,,1,2,2020-11-15T17:00:00Z,Group C2,Boris Paichadze National Stadium,Tbilisi
GB-WLS,IE,1,0,,,1,0,2020-11-15T17:00:00Z,Group B4,Cardiff City Stadium,Cardiff
BG,FI,1,2,,,1,2,2020-11-15T17:00:00Z,Group B4,Natsionalen Stadion Vasil Levski,Sofia
TR,RU,3,2,,,3,2,2020-11-15T17:00:00Z,Group B3,Fenerbahçe Şükrü Saracoğlu Stadyumu,Istanbul
NL,BA,3,1,,,3,1,2020-11-15T17:00:00Z,Group A1,Johan Cruijff ArenA,Amsterdam
MK,EE,2,1,,,2,1,2020-11-15T14:00:00Z,Group C2,National Arena Todor Proeski,Skopje
SK,GB-SCT,1,0,,,1,0,2020-11-15T14:00:00Z,Group B2,Štadión Antona Malatinského,Trnava
PT,FR,0,1,,,0,1,2020-11-14T19:45:00Z,Group A3,Estádio do SL Benfica,Lisbon
SE,HR,2,1,,,2,1,2020-11-14T19:45:00Z,Group A3,Friends Arena,Solna
DE,UA,3,1,,,3,1,2020-11-14T19:45:00Z,Group A4,Red Bull Arena,Leipzig
CH,ES,1,1,,,1,1,2020-11-14T19:45:00Z,Group A4,St. Jakob-Park,Basel
AZ,ME,0,0,,,0,0,2020-11-14T17:00:00Z,Group C1,Stadion Ivan Laljak-Ivić,Zaprešić
CY,LU,2,1,,,2,1,2020-11-14T17:00:00Z,Group C1,N/A,Nicosia
LV,FO,1,1,,,1,1,2020-11-14T17:00:00Z,Group D1,Daugava,Riga
SM,GI,0,0,,,0,0,2020-11-14T14:00:00Z,Group D2,SM Stadium,Serravalle
MT,AD,3,1,,,3,1,2020-11-14T14:00:00Z,Group D1,National Stadium,Ta' Qali
EE,AM,1,1,,,1,1,2020-10-14T18:45:00Z,Group C2,A. Le Coq Arena,Tallinn
RO,AT,0,1,,,0,1,2020-10-14T18:45:00Z,Group B1,Stadionul Ilie Oană,Ploiesti
MK,GE,1,1,,,1,1,2020-10-14T18:45:00Z,Group C2,National Arena Todor Proeski,Skopje
IT,NL,1,1,,,1,1,2020-10-14T18:45:00Z,Group A1,Stadio di Bergamo,Bergamo
PL,BA,3,0,,,3,0,2020-10-14T18:45:00Z,Group A1,Tarczynski Arena Wroclaw,Wroclaw
SK,IL,2,3,,,2,3,2020-10-14T18:45:00Z,Group B2,Štadión Antona Malatinského,Trnava
GB-SCT,CZ,1,0,,,1,0,2020-10-14T18:45:00Z,Group B2,Hampden Park,Glasgow
NO,GB-NIR,1,0,,,1,0,2020-10-14T18:45:00Z,Group B1,Ullevaal Stadion,Oslo
IS,BE,1,2,,,1,2,2020-10-14T18:45:00Z,Group A2,Laugardalsvöllur,Reykjavík
PT,SE,3,0,,,3,0,2020-10-14T18:45:00Z,Group A3,Estádio José Alvalade,Lisbon
GB-ENG,DK,0,1,,,0,1,2020-10-14T18:45:00Z,Group A2,Wembley Stadium,London
HR,FR,1,2,,,1,2,2020-10-14T18:45:00Z,Group A3,Stadion Maksimir,Zagreb
RU,HU,0,0,,,0,0,2020-10-14T18:45:00Z,Group B3,VTB Arena,Moscow
TR,RS,2,2,,,2,2,2020-10-14T18:45:00Z,Group B3,Türk Telekom Arena,Istanbul
GR,XK,0,0,,,0,0,2020-10-14T18:45:00Z,Group C3,"Olympic Athletic Center of Athens ""Spyros Louis""",Athens
BG,GB-WLS,0,1,,,0,1,2020-10-14T18:45:00Z,Group B4,Natsionalen Stadion Vasil Levski,Sofia
BY,KZ,2,0,,,2,0,2020-10-14T18:45:00Z,Group C4,National Olympic Stadium Dinamo,Minsk
MD,SI,0,4,,,0,4,2020-10-14T18:45:00Z,Group C3,Stadionul Zimbru,Chișinău
FI,IE,1,0,,,1,0,2020-10-14T16:00:00Z,Group B4,Helsinki Olympic Stadium,Helsinki
LT,AL,0,0,,,0,0,2020-10-14T16:00:00Z,Group C4,LFF stadionas,Vilnius
LI,SM,0,0,,,0,0,2020-10-13T18:45:00Z,Group D2,Rheinpark Stadion,Vaduz
ME,LU,1,2,,,1,2,2020-10-13T18:45:00Z,Group C1,Gradski Stadion Podgorica,Podgorica
FO,AD,2,0,,,2,0,2020-10-13T18:45:00Z,Group D1,Tórsvøllur,Torshavn
DE,CH,3,3,,,3,3,2020-10-13T18:45:00Z,Group A4,RheinEnergieStadion,Cologne
UA,ES,1,0,,,1,0,2020-10-13T18:45:00Z,Group A4,NSC Olimpiyskiy,Kyiv
AZ,CY,0,0,,,0,0,2020-10-13T16:00:00Z,Group C1,Elbasan Arena,Elbasan
LV,MT,0,1,,,0,1,2020-10-13T16:00:00Z,Group D1,Daugava,Riga
PL,IT,0,0,,,0,0,2020-10-11T18:45:00Z,Group A1,STADION ENERGA GDANSK,Gdansk
GB-NIR,AT,0,1,,,0,1,2020-10-11T18:45:00Z,Group B1,National Football Stadium at Windsor Park,Belfast
GB-SCT,SK,1,0,,,1,0,2020-10-11T18:45:00Z,Group B2,Hampden Park,Glasgow
IL,CZ,1,2,,,1,2,2020-10-11T18:45:00Z,Group B2,Sammy Ofer Stadium,Haifa
FR,PT,0,0,,,0,0,2020-10-11T18:45:00Z,Group A3,Stade de FR,Saint-Denis
IS,DK,0,3,,,0,3,2020-10-11T18:45:00Z,Group A2,Laugardalsvöllur,Reykjavík
RU,TR,1,1,,,1,1,2020-10-11T18:45:00Z,Group B3,VTB Arena,Moscow
RS,HU,0,1,,,0,1,2020-10-11T18:45:00Z,Group B3,Stadion Rajko Mitić,Belgrade
GR,MD,2,0,,,2,0,2020-10-11T18:45:00Z,Group C3,"Olympic Athletic Center of Athens ""Spyros Louis""",Athens
XK,SI,0,1,,,0,1,2020-10-11T18:45:00Z,Group C3,Stadiumi Fadil Vokrri,Pristina
AM,GE,2,2,,,2,2,2020-10-11T16:00:00Z,Group C2,Tychy Stadium,Tychy
BA,NL,0,0,,,0,0,2020-10-11T16:00:00Z,Group A1,Stadion Bilino Polje,Zenica
EE,MK,3,3,,,3,3,2020-10-11T16:00:00Z,Group C2,A. Le Coq Arena,Tallinn
NO,RO,4,0,,,4,0,2020-10-11T16:00:00Z,Group B1,Ullevaal Stadion,Oslo
GB-ENG,BE,2,1,,,2,1,2020-10-11T16:00:00Z,Group A2,Wembley Stadium,London
HR,SE,2,1,,,2,1,2020-10-11T16:00:00Z,Group A3,Stadion Maksimir,Zagreb
FI,BG,2,0,,,2,0,2020-10-11T16:00:00Z,Group B4,Helsinki Olympic Stadium,Helsinki
LT,BY,2,2,,,2,2,2020-10-11T16:00:00Z,Group C4,LFF stadionas,Vilnius
KZ,AL,0,0,,,0,0,2020-10-11T13:00:00Z,Group C4,Almaty Ortalyk Stadion,Almaty
IE,GB-WLS,0,0,,,0,0,2020-10-11T13:00:00Z,Group B4,Aviva Stadium,Dublin
AD,MT,0,0,,,0,0,2020-10-10T18:45:00Z,Group D1,Estadi Nacional,AD la Vella
ES,CH,1,0,,,1,0,2020-10-10T18:45:00Z,Group A4,Estadio Alfredo Di Stéfano,Madrid
UA,DE,1,2,,,1,2,2020-10-10T18:45:00Z,Group A4,NSC Olimpiyskiy,Kyiv
LI,GI,0,1,,,0,1,2020-10-10T16:00:00Z,Group D2,Rheinpark Stadion,Vaduz
FO,LV,1,1,,,1,1,2020-10-10T16:00:00Z,Group D1,Tórsvøllur,Torshavn
ME,AZ,2,0,,,2,0,2020-10-10T13:00:00Z,Group C1,Gradski Stadion Podgorica,Podgorica
LU,CY,2,0,,,2,0,2020-10-10T13:00:00Z,Group C1,Stade Josy Barthel,LU
FR,HR,4,2,,,4,2,2020-09-08T18:45:00Z,Group A3,Stade de FR,Saint-Denis
BE,IS,5,1,,,5,1,2020-09-08T18:45:00Z,Group A2,King Baudouin Stadium,Brussels
SE,PT,0,2,,,0,2,2020-09-08T18:45:00Z,Group A3,Friends Arena,Solna
DK,GB-ENG,0,0,,,0,0,2020-09-08T18:45:00Z,Group A2,Parken,Copenhagen
CY,AZ,0,1,,,0,1,2020-09-08T18:45:00Z,Group C1,N/A,Nicosia
LU,ME,0,1,,,0,1,2020-09-08T18:45:00Z,Group C1,Stade Josy Barthel,LU
SM,LI,0,2,,,0,2,2020-09-08T18:45:00Z,Group D2,Stadio Comunale,Rimini
GE,MK,1,1,,,1,1,2020-09-08T16:00:00Z,Group C2,Boris Paichadze National Stadium,Tbilisi
AM,EE,2,0,,,2,0,2020-09-08T16:00:00Z,Group C2,Republican Stadium after Vazgen Sargsyan,Yerevan
NL,IT,0,1,,,0,1,2020-09-07T18:45:00Z,Group A1,Johan Cruijff ArenA,Amsterdam
CZ,GB-SCT,1,2,,,1,2,2020-09-07T18:45:00Z,Group B2,Andrův stadion,Olomouc
AT,RO,2,3,,,2,3,2020-09-07T18:45:00Z,Group B1,28 Black Arena,Klagenfurt
BA,PL,1,2,,,1,2,2020-09-07T18:45:00Z,Group A1,Stadion Bilino Polje,Zenica
GB-NIR,NO,1,5,,,1,5,2020-09-07T18:45:00Z,Group B1,National Football Stadium at Windsor Park,Belfast
AL,LT,0,1,,,0,1,2020-09-07T18:45:00Z,Group C4,Air AL Stadium,Tirana
IL,SK,1,1,,,1,1,2020-09-07T18:45:00Z,Group B2,Netanya Stadium,Netanya
KZ,BY,1,2,,,1,2,2020-09-07T14:00:00Z,Group C4,Almaty Ortalyk Stadion,Almaty
RS,TR,0,0,,,0,0,2020-09-06T18:45:00Z,Group B3,Stadion Rajko Mitić,Belgrade
XK,GR,1,2,,,1,2,2020-09-06T18:45:00Z,Group C3,Stadiumi Fadil Vokrri,Pristina
CH,DE,1,1,,,1,1,2020-09-06T18:45:00Z,Group A4,St. Jakob-Park,Basel
ES,UA,4,0,,,4,0,2020-09-06T18:45:00Z,Group A4,Estadio Alfredo Di Stéfano,Madrid
MT,LV,1,1,,,1,1,2020-09-06T18:45:00Z,Group D1,National Stadium,Ta' Qali
HU,RU,2,3,,,2,3,2020-09-06T16:00:00Z,Group B3,Puskás Aréna,Budapest
SI,MD,1,0,,,1,0,2020-09-06T16:00:00Z,Group C3,Stadion Stožice,Ljubljana
IE,FI,0,1,,,0,1,2020-09-06T16:00:00Z,Group B4,Aviva Stadium,Dublin
GB-WLS,BG,1,0,,,1,0,2020-09-06T13:00:00Z,Group B4,Cardiff City Stadium,Cardiff
AD,FO,0,1,,,0,1,2020-09-06T13:00:00Z,Group D1,Estadi Nacional,AD la Vella
PT,HR,4,1,,,4,1,2020-09-05T18:45:00Z,Group A3,Estádio do Dragão,Porto
SE,FR,0,1,,,0,1,2020-09-05T18:45:00Z,Group A3,Friends Arena,Solna
DK,BE,0,2,,,0,2,2020-09-05T18:45:00Z,Group A2,Parken,Copenhagen
IS,GB-ENG,0,1,,,0,1,2020-09-05T16:00:00Z,Group A2,Laugardalsvöllur,Reykjavík
EE,GE,0,1,,,0,1,2020-09-05T16:00:00Z,Group C2,A. Le Coq Arena,Tallinn
CY,ME,0,2,,,0,2,2020-09-05T16:00:00Z,Group C1,N/A,Nicosia
AZ,LU,1,2,,,1,2,2020-09-05T16:00:00Z,Group C1,Baku Olympic Stadium,Baku
MK,AM,2,1,,,2,1,2020-09-05T13:00:00Z,Group C2,National Arena Todor Proeski,Skopje
GI,SM,1,0,,,1,0,2020-09-05T13:00:00Z,Group D2,Victoria Stadium,GI
NL,PL,1,0,,,1,0,2020-09-04T18:45:00Z,Group A1,Johan Cruijff ArenA,Amsterdam
IT,BA,1,1,,,1,1,2020-09-04T18:45:00Z,Group A1,Stadio Artemio Franchi,Florence
SK,CZ,1,3,,,1,3,2020-09-04T18:45:00Z,Group B2,Národný futbalový štadión,Bratislava
GB-SCT,IL,1,1,,,1,1,2020-09-04T18:45:00Z,Group B2,Hampden Park,Glasgow
NO,AT,1,2,,,1,2,2020-09-04T18:45:00Z,Group B1,Ullevaal Stadion,Oslo
RO,GB-NIR,1,1,,,1,1,2020-09-04T18:45:00Z,Group B1,National Arena Bucharest,Bucharest
BY,AL,0,2,,,0,2,2020-09-04T18:45:00Z,Group C4,National Olympic Stadium Dinamo,Minsk
LT,KZ,0,2,,,0,2,2020-09-04T16:00:00Z,Group C4,LFF stadionas,Vilnius
DE,ES,1,1,,,1,1,2020-09-03T18:45:00Z,Group A4,Mercedes-Benz Arena,Stuttgart
UA,CH,2,1,,,2,1,2020-09-03T18:45:00Z,Group A4,Arena Lviv,Lviv
RU,RS,3,1,,,3,1,2020-09-03T18:45:00Z,Group B3,VTB Arena,Moscow
TR,HU,0,1,,,0,1,2020-09-03T18:45:00Z,Group B3,Yeni4 Eylül Stadyumu,Sivas
