home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
BE,DE,1,2,,,1,2,1980-06-22T18:30:00Z,Final,Stadio Olimpico,Rome
CZ,IT,1,1,9,8,10,9,1980-06-21T18:30:00Z,Third-place play-off,Stadio Diego Armando Maradona,Naples
IT,BE,0,0,,,0,0,1980-06-18T18:30:00Z,Group 2,Stadio Olimpico,Rome
ES,GB-ENG,1,2,,,1,2,1980-06-18T15:45:00Z,Group 2,Stadio Diego Armando Maradona,Naples
GR,DE,0,0,,,0,0,1980-06-17T18:30:00Z,Group 1,Delle Alpi,Turin
NL,CZ,1,1,,,1,1,1980-06-17T15:45:00Z,Group 1,Stadio San Siro,Milan
GB-ENG,IT,0,1,,,0,1,1980-06-15T18:30:00Z,Group 2,Delle Alpi,Turin
BE,ES,2,1,,,2,1,1980-06-15T15:45:00Z,Group 2,Stadio San Siro,Milan
GR,CZ,1,3,,,1,3,1980-06-14T18:30:00Z,Group 1,Stadio Olimpico,Rome
DE,NL,3,2,,,3,2,1980-06-14T15:45:00Z,Group 1,Stadio Diego Armando Maradona,Naples
ES,IT,0,0,,,0,0,1980-06-12T18:30:00Z,Group 2,Stadio San Siro,Milan
BE,GB-ENG,1,1,,,1,1,1980-06-12T15:45:00Z,Group 2,Delle Alpi,Turin
NL,GR,1,0,,,1,0,1980-06-11T18:30:00Z,Group 1,Stadio Diego Armando Maradona,Naples
CZ,DE,0,1,,,0,1,1980-06-11T15:45:00Z,Group 1,Stadio Olimpico,Rome
