home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
PT,NL,1,0,,,1,0,2019-06-09T18:45:00Z,Final,Estádio do Dragão,Porto
CH,GB-ENG,0,0,5,6,5,6,2019-06-09T13:00:00Z,Third-place play-off,Estádio D. Afonso Henriques,Guimaraes
NL,GB-ENG,1,1,,,3,1,2019-06-06T18:45:00Z,Semi-finals,Estádio D. Afonso Henriques,Guimaraes
PT,CH,3,1,,,3,1,2019-06-05T18:45:00Z,Semi-finals,Estádio do Dragão,Porto
PT,PL,1,1,,,1,1,2018-11-20T19:45:00Z,Group A3,Estádio D. Afonso Henriques,Guimaraes
GB-SCT,IL,3,2,,,3,2,2018-11-20T19:45:00Z,Group C1,Hampden Park,Glasgow
SE,RU,2,0,,,2,0,2018-11-20T19:45:00Z,Group B2,Friends Arena,Solna
XK,AZ,4,0,,,4,0,2018-11-20T19:45:00Z,Group D3,Stadiumi Fadil Vokrri,Pristina
MT,FO,1,1,,,1,1,2018-11-20T19:45:00Z,Group D3,National Stadium,Ta' Qali
ME,RO,0,1,,,0,1,2018-11-20T19:45:00Z,Group C4,Gradski Stadion Podgorica,Podgorica
RS,LT,4,1,,,4,1,2018-11-20T19:45:00Z,Group C4,Stadion FK Partizan,Belgrade
DE,NL,2,2,,,2,2,2018-11-19T19:45:00Z,Group A1,Arena AufSchalke,Gelsenkirchen
CZ,SK,1,0,,,1,0,2018-11-19T19:45:00Z,Group B1,Eden Arena,Prague
DK,IE,0,0,,,0,0,2018-11-19T19:45:00Z,Group B4,Aarhus Stadium,Aarhus
LI,AM,2,2,,,2,2,2018-11-19T19:45:00Z,Group D4,Rheinpark Stadion,Vaduz
MK,GI,4,0,,,4,0,2018-11-19T19:45:00Z,Group D4,National Arena Todor Proeski,Skopje
BG,SI,1,1,,,1,1,2018-11-19T19:45:00Z,Group C3,Natsionalen Stadion Vasil Levski,Sofia
CY,NO,0,2,,,0,2,2018-11-19T19:45:00Z,Group C3,GSP,Nicosia
AD,LV,0,0,,,0,0,2018-11-19T17:00:00Z,Group D1,Estadi Nacional,AD la Vella
GE,KZ,2,1,,,2,1,2018-11-19T17:00:00Z,Group D1,Boris Paichadze National Stadium Dinamo Arena,Tbilisi
CH,BE,5,2,,,5,2,2018-11-18T19:45:00Z,Group A2,Luzern Arena,Lucerne
GR,EE,0,1,,,0,1,2018-11-18T19:45:00Z,Group C2,Olympic Athletic Center of Athens,Athens
HU,FI,2,0,,,2,0,2018-11-18T19:45:00Z,Group C2,Ferencváros Stadion,Budapest
MD,LU,1,1,,,1,1,2018-11-18T17:00:00Z,Group D2,Stadionul Zimbru,Chișinău
SM,BY,0,2,,,0,2,2018-11-18T17:00:00Z,Group D2,SM Stadium,Serravalle
GB-NIR,AT,1,2,,,1,2,2018-11-18T17:00:00Z,Group B3,Windsor Park,Belfast
GB-ENG,HR,2,1,,,2,1,2018-11-18T14:00:00Z,Group A4,Wembley Stadium,London
IT,PT,0,0,,,0,0,2018-11-17T19:45:00Z,Group A3,Stadio San Siro,Milan
AL,GB-SCT,0,4,,,0,4,2018-11-17T19:45:00Z,Group C1,Loro Boriçi Stadium,Shkoder
RO,LT,3,0,,,3,0,2018-11-17T19:45:00Z,Group C4,Stadionul Ilie Oană,Ploiesti
TR,SE,0,1,,,0,1,2018-11-17T17:00:00Z,Group B2,Konya Büyükşehir Belediye Stadyumu,Konya
MT,XK,0,5,,,0,5,2018-11-17T17:00:00Z,Group D3,National Stadium,Ta' Qali
AZ,FO,2,0,,,2,0,2018-11-17T17:00:00Z,Group D3,Baku Olympic Stadium,Baku
RS,ME,2,1,,,2,1,2018-11-17T14:00:00Z,Group C4,Stadion Rajko Mitić,Belgrade
NL,FR,2,0,,,2,0,2018-11-16T19:45:00Z,Group A1,Stadion Feijenoord 'De Kuip',Rotterdam
SK,UA,4,1,,,4,1,2018-11-16T19:45:00Z,Group B1,Štadión Antona Malatinského,Trnava
GB-WLS,DK,1,2,,,1,2,2018-11-16T19:45:00Z,Group B4,Cardiff City Stadium,Cardiff
LI,MK,0,2,,,0,2,2018-11-16T19:45:00Z,Group D4,Rheinpark Stadion,Vaduz
GI,AM,2,6,,,2,6,2018-11-16T19:45:00Z,Group D4,Victoria Stadium,GI
SI,NO,1,1,,,1,1,2018-11-16T19:45:00Z,Group C3,Stadion Stožice,Ljubljana
CY,BG,1,1,,,1,1,2018-11-16T19:45:00Z,Group C3,GSP,Nicosia
BE,IS,2,0,,,2,0,2018-11-15T19:45:00Z,Group A2,King Baudouin Stadium,Brussels
HR,ES,3,2,,,3,2,2018-11-15T19:45:00Z,Group A4,Stadion Maksimir,Zagreb
AD,GE,1,1,,,1,1,2018-11-15T19:45:00Z,Group D1,Estadi Nacional,AD la Vella
SM,MD,0,1,,,0,1,2018-11-15T19:45:00Z,Group D2,SM Stadium,Serravalle
LU,BY,0,2,,,0,2,2018-11-15T19:45:00Z,Group D2,Stade Josy Barthel,LU
AT,BA,0,0,,,0,0,2018-11-15T19:45:00Z,Group B3,Ernst-Happel-Stadion,Vienna
GR,FI,1,0,,,1,0,2018-11-15T19:45:00Z,Group C2,Olympic Athletic Center of Athens,Athens
HU,EE,2,0,,,2,0,2018-11-15T19:45:00Z,Group C2,Ferencváros Stadion,Budapest
KZ,LV,1,1,,,1,1,2018-11-15T15:00:00Z,Group D1,Astana Arena,Astana
FR,DE,2,1,,,2,1,2018-10-16T18:45:00Z,Group A1,Stade de FR,Saint-Denis
UA,CZ,1,0,,,1,0,2018-10-16T18:45:00Z,Group B1,OSC Metalist,Kharkiv
LV,GE,0,3,,,0,3,2018-10-16T18:45:00Z,Group D1,Daugava,Riga
IE,GB-WLS,0,1,,,0,1,2018-10-16T18:45:00Z,Group B4,Dublin Arena,Dublin
GI,LI,2,1,,,2,1,2018-10-16T18:45:00Z,Group D4,Victoria Stadium,GI
NO,BG,1,0,,,1,0,2018-10-16T18:45:00Z,Group C3,Ullevaal Stadion,Oslo
SI,CY,1,1,,,1,1,2018-10-16T18:45:00Z,Group C3,Stadion Stožice,Ljubljana
AM,MK,4,0,,,4,0,2018-10-16T16:00:00Z,Group D4,Republican Stadium after Vazgen Sargsyan,Yerevan
KZ,AD,4,0,,,4,0,2018-10-16T14:00:00Z,Group D1,Astana Arena,Astana
IS,CH,1,2,,,1,2,2018-10-15T18:45:00Z,Group A2,Laugardalsvöllur,Reykjavík
ES,GB-ENG,2,3,,,2,3,2018-10-15T18:45:00Z,Group A4,Estadio Benito Villamarín,Seville
BY,MD,0,0,,,0,0,2018-10-15T18:45:00Z,Group D2,National Olympic Stadium Dinamo,Minsk
LU,SM,3,0,,,3,0,2018-10-15T18:45:00Z,Group D2,Stade Josy Barthel,LU
BA,GB-NIR,2,0,,,2,0,2018-10-15T18:45:00Z,Group B3,Stadion Grbavica,Sarajevo
EE,HU,3,3,,,3,3,2018-10-15T18:45:00Z,Group C2,Lilleküla Stadium,Tallinn
FI,GR,2,0,,,2,0,2018-10-15T18:45:00Z,Group C2,Tampere Stadion,Tampere
PL,IT,0,1,,,0,1,2018-10-14T18:45:00Z,Group A3,Silesian Stadium,Chorzow
