home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
DK,DE,2,0,,,2,0,1992-06-26T18:15:00Z,Final,Ullevi,Gothenburg
NL,DK,2,2,4,5,6,7,1992-06-22T18:15:00Z,Semi-finals,Ullevi,Gothenburg
SE,DE,2,3,,,2,3,1992-06-21T18:15:00Z,Semi-finals,Råsunda,Solna
GB-SCT,RU,3,0,,,3,0,1992-06-18T18:15:00Z,Group 2,NYA Parken,Norrkoping
NL,DE,3,1,,,3,1,1992-06-18T18:15:00Z,Group 2,Ullevi,Gothenburg
FR,DK,1,2,,,1,2,1992-06-17T18:15:00Z,Group 1,Malmö Idrottsplats,Malmö
SE,GB-ENG,2,1,,,2,1,1992-06-17T18:15:00Z,Group 1,Råsunda,Solna
NL,RU,0,0,,,0,0,1992-06-15T18:15:00Z,Group 2,Ullevi,Gothenburg
GB-SCT,DE,0,2,,,0,2,1992-06-15T15:15:00Z,Group 2,NYA Parken,Norrkoping
SE,DK,1,0,,,1,0,1992-06-14T18:15:00Z,Group 1,Råsunda,Solna
FR,GB-ENG,0,0,,,0,0,1992-06-14T15:15:00Z,Group 1,Malmö Idrottsplats,Malmö
RU,DE,1,1,,,1,1,1992-06-12T18:15:00Z,Group 2,NYA Parken,Norrkoping
NL,GB-SCT,1,0,,,1,0,1992-06-12T15:15:00Z,Group 2,Ullevi,Gothenburg
DK,GB-ENG,0,0,,,0,0,1992-06-11T18:15:00Z,Group 1,Malmö Idrottsplats,Malmö
SE,FR,1,1,,,1,1,1992-06-10T18:15:00Z,Group 1,Råsunda,Solna
