home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
CZ,DE,1,1,,,1,2,1996-06-30T18:00:00Z,Final,Wembley (old),London
DE,GB-ENG,1,1,6,5,7,6,1996-06-26T18:30:00Z,Semi-finals,Wembley (old),London
FR,CZ,0,0,5,6,5,6,1996-06-26T15:00:00Z,Semi-finals,Old Trafford,Manchester
CZ,PT,1,0,,,1,0,1996-06-23T17:30:00Z,Quarter-finals,Villa Park,Birmingham
DE,HR,2,1,,,2,1,1996-06-23T14:00:00Z,Quarter-finals,Old Trafford,Manchester
FR,NL,0,0,5,4,5,4,1996-06-22T17:30:00Z,Quarter-finals,Anfield,Liverpool
ES,GB-ENG,0,0,2,4,2,4,1996-06-22T14:00:00Z,Quarter-finals,Wembley (old),London
IT,DE,0,0,,,0,0,1996-06-19T18:30:00Z,Group C,Old Trafford,Manchester
RU,CZ,3,3,,,3,3,1996-06-19T18:30:00Z,Group C,Anfield,Liverpool
TR,DK,0,3,,,0,3,1996-06-19T15:30:00Z,Group D,Hillsborough,Sheffield
HR,PT,0,3,,,0,3,1996-06-19T15:30:00Z,Group D,City Ground,Nottingham
NL,GB-ENG,1,4,,,1,4,1996-06-18T18:30:00Z,Group A,Wembley (old),London
GB-SCT,CH,1,0,,,1,0,1996-06-18T18:30:00Z,Group A,Villa Park,Birmingham
RO,ES,1,2,,,1,2,1996-06-18T15:30:00Z,Group B,Elland Road,Leeds
FR,BG,3,1,,,3,1,1996-06-18T15:30:00Z,Group B,St James' Park,Newcastle
HR,DK,3,0,,,3,0,1996-06-16T17:00:00Z,Group D,Hillsborough,Sheffield
RU,DE,0,3,,,0,3,1996-06-16T14:00:00Z,Group C,Old Trafford,Manchester
FR,ES,1,1,,,1,1,1996-06-15T17:00:00Z,Group B,Elland Road,Leeds
GB-SCT,GB-ENG,0,2,,,0,2,1996-06-15T14:00:00Z,Group A,Wembley (old),London
CZ,IT,2,1,,,2,1,1996-06-14T18:30:00Z,Group C,Anfield,Liverpool
PT,TR,1,0,,,1,0,1996-06-14T15:30:00Z,Group D,City Ground,Nottingham
CH,NL,0,2,,,0,2,1996-06-13T18:30:00Z,Group A,Villa Park,Birmingham
BG,RO,1,0,,,1,0,1996-06-13T15:30:00Z,Group B,St James' Park,Newcastle
TR,HR,0,1,,,0,1,1996-06-11T18:30:00Z,Group D,City Ground,Nottingham
IT,RU,2,1,,,2,1,1996-06-11T15:30:00Z,Group C,Anfield,Liverpool
RO,FR,0,1,,,0,1,1996-06-10T18:30:00Z,Group B,St James' Park,Newcastle
NL,GB-SCT,0,0,,,0,0,1996-06-10T15:30:00Z,Group A,Villa Park,Birmingham
DK,PT,1,1,,,1,1,1996-06-09T18:30:00Z,Group D,Hillsborough,Sheffield
DE,CZ,2,0,,,2,0,1996-06-09T16:00:00Z,Group C,Old Trafford,Manchester
ES,BG,1,1,,,1,1,1996-06-09T13:30:00Z,Group B,Elland Road,Leeds
GB-ENG,CH,1,1,,,1,1,1996-06-08T14:00:00Z,Group A,Wembley (old),London
