home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
FR,ES,2,0,,,2,0,1984-06-27T18:00:00Z,Final,Parc des Princes,Paris
DK,ES,0,0,4,5,4,5,1984-06-24T18:00:00Z,Semi-finals,Stade de Gerland,Lyon
FR,PT,1,1,,,3,2,1984-06-23T18:00:00Z,Semi-finals,Stade de Marseille,Marseille
PT,RO,1,0,,,1,0,1984-06-20T18:30:00Z,Group 2,Stade de la Beaujoire,Nantes
DE,ES,0,1,,,0,1,1984-06-20T18:30:00Z,Group 2,Parc des Princes,Paris
DK,BE,3,2,,,3,2,1984-06-19T18:30:00Z,Group 1,Stade de La Meinau,Strasbourg
FR,RS,3,2,,,3,2,1984-06-19T18:30:00Z,Group 1,Stade Geoffroy Guichard,Saint-Etienne
PT,ES,1,1,,,1,1,1984-06-17T18:30:00Z,Group 2,Stade de Marseille,Marseille
DE,RO,2,1,,,2,1,1984-06-17T15:15:00Z,Group 2,Stade Bollaert-Delelis,Lens Agglo
DK,RS,5,0,,,5,0,1984-06-16T18:30:00Z,Group 1,Stade de Gerland,Lyon
FR,BE,5,0,,,5,0,1984-06-16T15:15:00Z,Group 1,Stade de la Beaujoire,Nantes
RO,ES,1,1,,,1,1,1984-06-14T18:30:00Z,Group 2,Stade Geoffroy Guichard,Saint-Etienne
DE,PT,0,0,,,0,0,1984-06-14T15:15:00Z,Group 2,Stade de La Meinau,Strasbourg
BE,RS,2,0,,,2,0,1984-06-13T18:30:00Z,Group 1,Stade Bollaert-Delelis,Lens Agglo
FR,DK,1,0,,,1,0,1984-06-12T18:30:00Z,Group 1,Parc des Princes,Paris
