home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
PT,GR,0,1,,,0,1,2004-07-04T18:45:00Z,Final,Estádio do SL Benfica,Lisbon
GR,CZ,0,0,,,1,0,2004-07-01T18:45:00Z,Semi-finals,Estádio do Dragão,Porto
PT,NL,2,1,,,2,1,2004-06-30T18:45:00Z,Semi-finals,Estádio José Alvalade,Lisbon
CZ,DK,3,0,,,3,0,2004-06-27T18:45:00Z,Quarter-finals,Estádio do Dragão,Porto
SE,NL,0,0,4,5,4,5,2004-06-26T18:45:00Z,Quarter-finals,Estádio Algarve,Faro-Loulé
FR,GR,0,1,,,0,1,2004-06-25T18:45:00Z,Quarter-finals,Estádio José Alvalade,Lisbon
PT,GB-ENG,1,1,6,5,7,6,2004-06-24T18:45:00Z,Quarter-finals,Estádio do SL Benfica,Lisbon
DE,CZ,1,2,,,1,2,2004-06-23T18:45:00Z,Group D,Estádio José Alvalade,Lisbon
NL,LV,3,0,,,3,0,2004-06-23T18:45:00Z,Group D,Estádio Municipal de Braga,Braga
DK,SE,2,2,,,2,2,2004-06-22T18:45:00Z,Group C,Estádio do Bessa XXI,Porto
IT,BG,2,1,,,2,1,2004-06-22T18:45:00Z,Group C,Estádio D. Afonso Henriques,Guimaraes
HR,GB-ENG,2,4,,,2,4,2004-06-21T18:45:00Z,Group B,Estádio do SL Benfica,Lisbon
CH,FR,1,3,,,1,3,2004-06-21T18:45:00Z,Group B,Estádio Cidade de Coimbra,Coimbra
RU,GR,2,1,,,2,1,2004-06-20T18:45:00Z,Group A,Estádio Algarve,Faro-Loulé
ES,PT,0,1,,,0,1,2004-06-20T18:45:00Z,Group A,Estádio José Alvalade,Lisbon
NL,CZ,2,3,,,2,3,2004-06-19T18:45:00Z,Group D,Estádio Municipal de Aveiro,Aveiro
LV,DE,0,0,,,0,0,2004-06-19T16:00:00Z,Group D,Estádio do Bessa XXI,Porto
IT,SE,1,1,,,1,1,2004-06-18T18:45:00Z,Group C,Estádio do Dragão,Porto
BG,DK,0,2,,,0,2,2004-06-18T16:00:00Z,Group C,Estádio Municipal de Braga,Braga
HR,FR,2,2,,,2,2,2004-06-17T18:45:00Z,Group B,Estádio Dr. Magalhães Pessoa,Leiria
GB-ENG,CH,3,0,,,3,0,2004-06-17T16:00:00Z,Group B,Estádio Cidade de Coimbra,Coimbra
RU,PT,0,2,,,0,2,2004-06-16T18:45:00Z,Group A,Estádio do SL Benfica,Lisbon
GR,ES,1,1,,,1,1,2004-06-16T16:00:00Z,Group A,Estádio do Bessa XXI,Porto
DE,NL,1,1,,,1,1,2004-06-15T18:45:00Z,Group D,Estádio do Dragão,Porto
CZ,LV,2,1,,,2,1,2004-06-15T16:00:00Z,Group D,Estádio Municipal de Aveiro,Aveiro
SE,BG,5,0,,,5,0,2004-06-14T18:45:00Z,Group C,Estádio José Alvalade,Lisbon
DK,IT,0,0,,,0,0,2004-06-14T16:00:00Z,Group C,Estádio D. Afonso Henriques,Guimaraes
FR,GB-ENG,2,1,,,2,1,2004-06-13T18:45:00Z,Group B,Estádio do SL Benfica,Lisbon
CH,HR,0,0,,,0,0,2004-06-13T16:00:00Z,Group B,Estádio Dr. Magalhães Pessoa,Leiria
ES,RU,1,0,,,1,0,2004-06-12T18:45:00Z,Group A,Estádio Algarve,Faro-Loulé
PT,GR,1,2,,,1,2,2004-06-12T16:00:00Z,Group A,Estádio do Dragão,Porto
