home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
Portugal,Spain,2,2,5,3,7,5,2025-06-08T19:00:00Z,Final,Munich Football Arena,Munich
Germany,France,0,2,,,0,2,2025-06-08T13:00:00Z,Third-place play-off,Stuttgart Arena,Stuttgart
Germany,Portugal,1,2,,,1,2,2025-06-04T19:00:00Z,Semi-finals,Munich Football Arena,Munich
Spain,France,5,4,,,5,4,2025-06-05T19:00:00Z,Semi-finals,Stuttgart Arena,Stuttgart
Spain,Netherlands,3,3,5,4,8,7,2025-03-23T20:45:00Z,Quarter-finals,Estadio La Cartuja de Sevilla,Seville
France,Croatia,2,0,5,4,7,4,2025-03-23T20:45:00Z,Quarter-finals,Stade de France,Saint-Denis
Portugal,Denmark,5,2,,,5,2,2025-03-23T20:45:00Z,Quarter-finals,Estádio José Alvalade,Lisbon
Germany,Italy,3,3,,,3,3,2025-03-23T20:45:00Z,Quarter-finals,BVB Stadion Dortmund,Dortmund
Netherlands,Spain,2,2,,,2,2,2025-03-20T20:45:00Z,Quarter-finals,Stadion Feijenoord 'De Kuip',Rotterdam
Croatia,France,2,0,,,2,0,2025-03-20T20:45:00Z,Quarter-finals,Stadion Poljud,Split
Denmark,Portugal,1,0,,,1,0,2025-03-20T20:45:00Z,Quarter-finals,Parken Stadium,Copenhagen
Italy,Germany,1,2,,,1,2,2025-03-20T20:45:00Z,Quarter-finals,Stadio San Siro,Milan
Albania,Ukraine,1,2,,,1,2,2024-11-19T20:45:00Z,Group B1,Air Albania Stadium,Tirana
Czechia,Georgia,2,1,,,2,1,2024-11-19T20:45:00Z,Group B1,Andrův stadion,Olomouc
Montenegro,Turkey,3,1,,,3,1,2024-11-19T20:45:00Z,Group B4,Gradski Stadion,Nikšić
Wales,Iceland,4,1,,,4,1,2024-11-19T20:45:00Z,Group B4,Cardiff City Stadium,Cardiff
Slovakia,Estonia,1,0,,,1,0,2024-11-19T20:45:00Z,Group C1,Štadión Antona Malatinského,Trnava
Sweden,Azerbaijan,6,0,,,6,0,2024-11-19T20:45:00Z,Group C1,Strawberry Arena,Solna
Malta,Andorra,0,0,,,0,0,2024-11-19T20:45:00Z,Group D2,National Stadium,Ta' Qali
Bosnia and Herzegovina,Netherlands,1,1,,,1,1,2024-11-19T18:45:00Z,Group A3,Stadion Bilino Polje,Zenica
Hungary,Germany,1,1,,,1,1,2024-11-19T18:45:00Z,Group A3,Puskás Aréna,Budapest
Kosovo,Lithuania,1,0,,,1,0,2024-11-18T20:45:00Z,Group C2,Stadiumi Fadil Vokrri,Pristina
Romania,Cyprus,4,1,,,4,1,2024-11-18T20:45:00Z,Group C2,National Arena Bucharest,Bucharest
Bulgaria,Belarus,1,1,,,1,1,2024-11-18T20:45:00Z,Group C3,Natsionalen Stadion Vasil Levski,Sofia
Luxembourg,Northern Ireland,2,2,,,2,2,2024-11-18T20:45:00Z,Group C3,Stade de Luxembourg,Luxembourg
Liechtenstein,San Marino,1,3,,,1,3,2024-11-18T20:45:00Z,Group D1,Rheinpark Stadion,Vaduz
Croatia,Portugal,1,1,,,1,1,2024-11-18T19:45:00Z,Group A1,Stadion Poljud,Split
Poland,Scotland,1,2,,,1,2,2024-11-18T19:45:00Z,Group A1,Stadion Narodowy,Warsaw
Serbia,Denmark,0,0,,,0,0,2024-11-18T18:45:00Z,Group A4,Dubočica Stadium,Leskovac
