home_team,away_team,home_score,away_score,home_penalty,away_penalty,home_score_total,away_score_total,date,stage,stadium,city
IT,GB-ENG,1,1,3,2,4,3,2021-07-11T19:00:00Z,Final,Wembley Stadium,London
GB-ENG,DK,1,1,,,2,1,2021-07-07T19:00:00Z,Semi-finals,Wembley Stadium,London
IT,ES,1,1,4,2,5,3,2021-07-06T19:00:00Z,Semi-finals,Wembley Stadium,London
UA,GB-ENG,0,4,,,0,4,2021-07-03T19:00:00Z,Quarter-finals,Olimpico in Rome,Rome
CZ,DK,1,2,,,1,2,2021-07-03T16:00:00Z,Quarter-finals,Baku Olympic Stadium,Baku
BE,IT,1,2,,,1,2,2021-07-02T19:00:00Z,Quarter-finals,Munich Football Arena,Munich
CH,ES,1,1,1,3,2,4,2021-07-02T16:00:00Z,Quarter-finals,Gazprom Arena,St Petersburg
SE,UA,1,1,,,1,2,2021-06-29T19:00:00Z,Round of 16,Hampden Park,Glasgow
GB-ENG,DE,2,0,,,2,0,2021-06-29T16:00:00Z,Round of 16,Wembley Stadium,London
FR,CH,3,3,4,5,7,8,2021-06-28T19:00:00Z,Round of 16,National Arena Bucharest,Bucharest
HR,ES,3,3,,,3,5,2021-06-28T16:00:00Z,Round of 16,Parken Stadium,Copenhagen
BE,PT,1,0,,,1,0,2021-06-27T19:00:00Z,Round of 16,La Cartuja Stadium,Seville
NL,CZ,0,2,,,0,2,2021-06-27T16:00:00Z,Round of 16,Puskás Aréna,Budapest
IT,AT,0,0,,,2,1,2021-06-26T19:00:00Z,Round of 16,Wembley Stadium,London
GB-WLS,DK,0,4,,,0,4,2021-06-26T16:00:00Z,Round of 16,Johan Cruijff ArenA,Amsterdam
DE,HU,2,2,,,2,2,2021-06-23T19:00:00Z,Group F,Munich Football Arena,Munich
PT,FR,2,2,,,2,2,2021-06-23T19:00:00Z,Group F,Puskás Aréna,Budapest
SE,PL,3,2,,,3,2,2021-06-23T16:00:00Z,Group E,Gazprom Arena,St Petersburg
SK,ES,0,5,,,0,5,2021-06-23T16:00:00Z,Group E,La Cartuja Stadium,Seville
CZ,GB-ENG,0,1,,,0,1,2021-06-22T19:00:00Z,Group D,Wembley Stadium,London
HR,GB-SCT,3,1,,,3,1,2021-06-22T19:00:00Z,Group D,Hampden Park,Glasgow
FI,BE,0,2,,,0,2,2021-06-21T19:00:00Z,Group B,Gazprom Arena,St Petersburg
RU,DK,1,4,,,1,4,2021-06-21T19:00:00Z,Group B,Parken Stadium,Copenhagen
UA,AT,0,1,,,0,1,2021-06-21T16:00:00Z,Group C,National Arena Bucharest,Bucharest
MK,NL,0,3,,,0,3,2021-06-21T16:00:00Z,Group C,Johan Cruijff ArenA,Amsterdam
IT,GB-WLS,1,0,,,1,0,2021-06-20T16:00:00Z,Group A,Olimpico in Rome,Rome
CH,TR,3,1,,,3,1,2021-06-20T16:00:00Z,Group A,Baku Olympic Stadium,Baku
ES,PL,1,1,,,1,1,2021-06-19T19:00:00Z,Group E,La Cartuja Stadium,Seville
PT,DE,2,4,,,2,4,2021-06-19T16:00:00Z,Group F,Munich Football Arena,Munich
HU,FR,1,1,,,1,1,2021-06-19T13:00:00Z,Group F,Puskás Aréna,Budapest
GB-ENG,GB-SCT,0,0,,,0,0,2021-06-18T19:00:00Z,Group D,Wembley Stadium,London
HR,CZ,1,1,,,1,1,2021-06-18T16:00:00Z,Group D,Hampden Park,Glasgow
SE,SK,1,0,,,1,0,2021-06-18T13:00:00Z,Group E,Gazprom Arena,St Petersburg
NL,AT,2,0,,,2,0,2021-06-17T19:00:00Z,Group C,Johan Cruijff ArenA,Amsterdam
DK,BE,1,2,,,1,2,2021-06-17T16:00:00Z,Group B,Parken Stadium,Copenhagen
UA,MK,2,1,,,2,1,2021-06-17T13:00:00Z,Group C,National Arena Bucharest,Bucharest
IT,CH,3,0,,,3,0,2021-06-16T19:00:00Z,Group A,Olimpico in Rome,Rome
TR,GB-WLS,0,2,,,0,2,2021-06-16T16:00:00Z,Group A,Baku Olympic Stadium,Baku
FI,RU,0,1,,,0,1,2021-06-16T13:00:00Z,Group B,Gazprom Arena,St Petersburg
FR,DE,1,0,,,1,0,2021-06-15T19:00:00Z,Group F,Munich Football Arena,Munich
HU,PT,0,3,,,0,3,2021-06-15T16:00:00Z,Group F,Puskás Aréna,Budapest
ES,SE,0,0,,,0,0,2021-06-14T19:00:00Z,Group E,La Cartuja Stadium,Seville
PL,SK,1,2,,,1,2,2021-06-14T16:00:00Z,Group E,Gazprom Arena,St Petersburg
GB-SCT,CZ,0,2,,,0,2,2021-06-14T13:00:00Z,Group D,Hampden Park,Glasgow
NL,UA,3,2,,,3,2,2021-06-13T19:00:00Z,Group C,Johan Cruijff ArenA,Amsterdam
AT,MK,3,1,,,3,1,2021-06-13T16:00:00Z,Group C,National Arena Bucharest,Bucharest
GB-ENG,HR,1,0,,,1,0,2021-06-13T13:00:00Z,Group D,Wembley Stadium,London
BE,RU,3,0,,,3,0,2021-06-12T19:00:00Z,Group B,Gazprom Arena,St Petersburg
DK,FI,0,1,,,0,1,2021-06-12T16:00:00Z,Group B,Parken Stadium,Copenhagen
GB-WLS,CH,1,1,,,1,1,2021-06-12T13:00:00Z,Group A,Baku Olympic Stadium,Baku
TR,IT,0,3,,,0,3,2021-06-11T19:00:00Z,Group A,Olimpico in Rome,Rome
